q,93
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(7, 8)",5,7,15,23,31,39
3,"(3, 16)",5,3,19,35,51,67
4,"(27, 32)",5,27,59,91,123,155
5,"(43, 64)",5,43,107,171,235,299
6,"(75, 128)",5,75,203,331,459,587
7,"(139, 256)",5,139,395,651,907,1163
8,"(267, 512)",5,267,779,1291,1803,2315
9,"(523, 1024)",5,523,1547,2571,3595,4619
10,"(11, 2048)",5,11,2059,4107,6155,8203
11,"(1035, 4096)",5,1035,5131,9227,13323,17419
12,"(7179, 8192)",5,7179,15371,23563,31755,39947
13,"(3083, 16384)",5,3083,19467,35851,52235,68619
14,"(27659, 32768)",5,27659,60427,93195,125963,158731
15,"(44043, 65536)",5,44043,109579,175115,240651,306187
16,"(76811, 131072)",5,76811,207883,338955,470027,601099
17,"(142347, 262144)",5,142347,404491,666635,928779,1190923
18,"(273419, 524288)",5,273419,797707,1321995,1846283,2370571
19,"(535563, 1048576)",5,535563,1584139,2632715,3681291,4729867
20,"(11275, 2097152)",5,11275,2108427,4205579,6302731,8399883
