q,1023
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(9, 16)",5,9,25,41,57,73
4,"(17, 32)",5,17,49,81,113,145
5,"(33, 64)",5,33,97,161,225,289
6,"(65, 128)",5,65,193,321,449,577
7,"(129, 256)",5,129,385,641,897,1153
8,"(257, 512)",5,257,769,1281,1793,2305
9,"(513, 1024)",5,513,1537,2561,3585,4609
10,"(1, 2048)",5,1,2049,4097,6145,8193
11,"(3073, 4096)",5,3073,7169,11265,15361,19457
12,"(5121, 8192)",5,5121,13313,21505,29697,37889
13,"(9217, 16384)",5,9217,25601,41985,58369,74753
14,"(17409, 32768)",5,17409,50177,82945,115713,148481
15,"(33793, 65536)",5,33793,99329,164865,230401,295937
16,"(66561, 131072)",5,66561,197633,328705,459777,590849
17,"(132097, 262144)",5,132097,394241,656385,918529,1180673
18,"(263169, 524288)",5,263169,787457,1311745,1836033,2360321
19,"(525313, 1048576)",5,525313,1573889,2622465,3671041,4719617
20,"(1025, 2097152)",5,1025,2098177,4195329,6292481,8389633
