q,75
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(5, 16)",5,5,21,37,53,69
4,"(13, 32)",5,13,45,77,109,141
5,"(61, 64)",5,61,125,189,253,317
6,"(93, 128)",5,93,221,349,477,605
7,"(29, 256)",5,29,285,541,797,1053
8,"(413, 512)",5,413,925,1437,1949,2461
9,"(157, 1024)",5,157,1181,2205,3229,4253
10,"(669, 2048)",5,669,2717,4765,6813,8861
11,"(3741, 4096)",5,3741,7837,11933,16029,20125
12,"(1693, 8192)",5,1693,9885,18077,26269,34461
13,"(5789, 16384)",5,5789,22173,38557,54941,71325
14,"(30365, 32768)",5,30365,63133,95901,128669,161437
15,"(46749, 65536)",5,46749,112285,177821,243357,308893
16,"(79517, 131072)",5,79517,210589,341661,472733,603805
17,"(145053, 262144)",5,145053,407197,669341,931485,1193629
18,"(276125, 524288)",5,276125,800413,1324701,1848989,2373277
19,"(538269, 1048576)",5,538269,1586845,2635421,3683997,4732573
20,"(13981, 2097152)",5,13981,2111133,4208285,6305437,8402589
