q,117
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(7, 8)",5,7,15,23,31,39
3,"(11, 16)",5,11,27,43,59,75
4,"(19, 32)",5,19,51,83,115,147
5,"(3, 64)",5,3,67,131,195,259
6,"(99, 128)",5,99,227,355,483,611
7,"(163, 256)",5,163,419,675,931,1187
8,"(291, 512)",5,291,803,1315,1827,2339
9,"(547, 1024)",5,547,1571,2595,3619,4643
10,"(1059, 2048)",5,1059,3107,5155,7203,9251
11,"(2083, 4096)",5,2083,6179,10275,14371,18467
12,"(35, 8192)",5,35,8227,16419,24611,32803
13,"(4131, 16384)",5,4131,20515,36899,53283,69667
14,"(28707, 32768)",5,28707,61475,94243,127011,159779
15,"(45091, 65536)",5,45091,110627,176163,241699,307235
16,"(77859, 131072)",5,77859,208931,340003,471075,602147
17,"(12323, 262144)",5,12323,274467,536611,798755,1060899
18,"(405539, 524288)",5,405539,929827,1454115,1978403,2502691
19,"(667683, 1048576)",5,667683,1716259,2764835,3813411,4861987
20,"(1191971, 2097152)",5,1191971,3289123,5386275,7483427,9580579
