q,135
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(1, 16)",5,1,17,33,49,65
4,"(25, 32)",5,25,57,89,121,153
5,"(41, 64)",5,41,105,169,233,297
6,"(9, 128)",5,9,137,265,393,521
7,"(73, 256)",5,73,329,585,841,1097
8,"(457, 512)",5,457,969,1481,1993,2505
9,"(201, 1024)",5,201,1225,2249,3273,4297
10,"(1737, 2048)",5,1737,3785,5833,7881,9929
11,"(713, 4096)",5,713,4809,8905,13001,17097
12,"(2761, 8192)",5,2761,10953,19145,27337,35529
13,"(6857, 16384)",5,6857,23241,39625,56009,72393
14,"(31433, 32768)",5,31433,64201,96969,129737,162505
15,"(47817, 65536)",5,47817,113353,178889,244425,309961
16,"(15049, 131072)",5,15049,146121,277193,408265,539337
17,"(80585, 262144)",5,80585,342729,604873,867017,1129161
18,"(211657, 524288)",5,211657,735945,1260233,1784521,2308809
19,"(998089, 1048576)",5,998089,2046665,3095241,4143817,5192393
20,"(473801, 2097152)",5,473801,2570953,4668105,6765257,8862409
