q,1
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(3, 8)",5,3,11,19,27,35
3,"(7, 16)",5,7,23,39,55,71
4,"(15, 32)",5,15,47,79,111,143
5,"(31, 64)",5,31,95,159,223,287
6,"(63, 128)",5,63,191,319,447,575
7,"(127, 256)",5,127,383,639,895,1151
8,"(255, 512)",5,255,767,1279,1791,2303
9,"(511, 1024)",5,511,1535,2559,3583,4607
10,"(1023, 2048)",5,1023,3071,5119,7167,9215
11,"(2047, 4096)",5,2047,6143,10239,14335,18431
12,"(4095, 8192)",5,4095,12287,20479,28671,36863
13,"(8191, 16384)",5,8191,24575,40959,57343,73727
14,"(16383, 32768)",5,16383,49151,81919,114687,147455
15,"(32767, 65536)",5,32767,98303,163839,229375,294911
16,"(65535, 131072)",5,65535,196607,327679,458751,589823
17,"(131071, 262144)",5,131071,393215,655359,917503,1179647
18,"(262143, 524288)",5,262143,786431,1310719,1835007,2359295
19,"(524287, 1048576)",5,524287,1572863,2621439,3670015,4718591
20,"(1048575, 2097152)",5,1048575,3145727,5242879,7340031,9437183
