q,61
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(7, 8)",5,7,15,23,31,39
3,"(3, 16)",5,3,19,35,51,67
4,"(27, 32)",5,27,59,91,123,155
5,"(11, 64)",5,11,75,139,203,267
6,"(43, 128)",5,43,171,299,427,555
7,"(107, 256)",5,107,363,619,875,1131
8,"(491, 512)",5,491,1003,1515,2027,2539
9,"(747, 1024)",5,747,1771,2795,3819,4843
10,"(1259, 2048)",5,1259,3307,5355,7403,9451
11,"(235, 4096)",5,235,4331,8427,12523,16619
12,"(6379, 8192)",5,6379,14571,22763,30955,39147
13,"(2283, 16384)",5,2283,18667,35051,51435,67819
14,"(10475, 32768)",5,10475,43243,76011,108779,141547
15,"(59627, 65536)",5,59627,125163,190699,256235,321771
16,"(26859, 131072)",5,26859,157931,289003,420075,551147
17,"(92395, 262144)",5,92395,354539,616683,878827,1140971
18,"(485611, 524288)",5,485611,1009899,1534187,2058475,2582763
19,"(747755, 1048576)",5,747755,1796331,2844907,3893483,4942059
20,"(223467, 2097152)",5,223467,2320619,4417771,6514923,8612075
