q,131
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(13, 16)",5,13,29,45,61,77
4,"(5, 32)",5,5,37,69,101,133
5,"(53, 64)",5,53,117,181,245,309
6,"(21, 128)",5,21,149,277,405,533
7,"(85, 256)",5,85,341,597,853,1109
8,"(213, 512)",5,213,725,1237,1749,2261
9,"(981, 1024)",5,981,2005,3029,4053,5077
10,"(1493, 2048)",5,1493,3541,5589,7637,9685
11,"(2517, 4096)",5,2517,6613,10709,14805,18901
12,"(469, 8192)",5,469,8661,16853,25045,33237
13,"(4565, 16384)",5,4565,20949,37333,53717,70101
14,"(29141, 32768)",5,29141,61909,94677,127445,160213
15,"(12757, 65536)",5,12757,78293,143829,209365,274901
16,"(45525, 131072)",5,45525,176597,307669,438741,569813
17,"(111061, 262144)",5,111061,373205,635349,897493,1159637
18,"(242133, 524288)",5,242133,766421,1290709,1814997,2339285
19,"(1028565, 1048576)",5,1028565,2077141,3125717,4174293,5222869
20,"(504277, 2097152)",5,504277,2601429,4698581,6795733,8892885
