q,47
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(9, 16)",5,9,25,41,57,73
4,"(1, 32)",5,1,33,65,97,129
5,"(17, 64)",5,17,81,145,209,273
6,"(113, 128)",5,113,241,369,497,625
7,"(177, 256)",5,177,433,689,945,1201
8,"(49, 512)",5,49,561,1073,1585,2097
9,"(817, 1024)",5,817,1841,2865,3889,4913
10,"(1329, 2048)",5,1329,3377,5425,7473,9521
11,"(305, 4096)",5,305,4401,8497,12593,16689
12,"(2353, 8192)",5,2353,10545,18737,26929,35121
13,"(6449, 16384)",5,6449,22833,39217,55601,71985
14,"(31025, 32768)",5,31025,63793,96561,129329,162097
15,"(14641, 65536)",5,14641,80177,145713,211249,276785
16,"(112945, 131072)",5,112945,244017,375089,506161,637233
17,"(47409, 262144)",5,47409,309553,571697,833841,1095985
18,"(440625, 524288)",5,440625,964913,1489201,2013489,2537777
19,"(702769, 1048576)",5,702769,1751345,2799921,3848497,4897073
20,"(1227057, 2097152)",5,1227057,3324209,5421361,7518513,9615665
