q,171
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(5, 16)",5,5,21,37,53,69
4,"(13, 32)",5,13,45,77,109,141
5,"(29, 64)",5,29,93,157,221,285
6,"(61, 128)",5,61,189,317,445,573
7,"(125, 256)",5,125,381,637,893,1149
8,"(253, 512)",5,253,765,1277,1789,2301
9,"(1021, 1024)",5,1021,2045,3069,4093,5117
10,"(509, 2048)",5,509,2557,4605,6653,8701
11,"(3581, 4096)",5,3581,7677,11773,15869,19965
12,"(5629, 8192)",5,5629,13821,22013,30205,38397
13,"(9725, 16384)",5,9725,26109,42493,58877,75261
14,"(17917, 32768)",5,17917,50685,83453,116221,148989
15,"(34301, 65536)",5,34301,99837,165373,230909,296445
16,"(67069, 131072)",5,67069,198141,329213,460285,591357
17,"(132605, 262144)",5,132605,394749,656893,919037,1181181
18,"(1533, 524288)",5,1533,525821,1050109,1574397,2098685
19,"(787965, 1048576)",5,787965,1836541,2885117,3933693,4982269
20,"(263677, 2097152)",5,263677,2360829,4457981,6555133,8652285
