q,163
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(13, 16)",5,13,29,45,61,77
4,"(5, 32)",5,5,37,69,101,133
5,"(21, 64)",5,21,85,149,213,277
6,"(53, 128)",5,53,181,309,437,565
7,"(117, 256)",5,117,373,629,885,1141
8,"(501, 512)",5,501,1013,1525,2037,2549
9,"(757, 1024)",5,757,1781,2805,3829,4853
10,"(245, 2048)",5,245,2293,4341,6389,8437
11,"(1269, 4096)",5,1269,5365,9461,13557,17653
12,"(7413, 8192)",5,7413,15605,23797,31989,40181
13,"(11509, 16384)",5,11509,27893,44277,60661,77045
14,"(3317, 32768)",5,3317,36085,68853,101621,134389
15,"(52469, 65536)",5,52469,118005,183541,249077,314613
16,"(19701, 131072)",5,19701,150773,281845,412917,543989
17,"(216309, 262144)",5,216309,478453,740597,1002741,1264885
18,"(85237, 524288)",5,85237,609525,1133813,1658101,2182389
19,"(871669, 1048576)",5,871669,1920245,2968821,4017397,5065973
20,"(1395957, 2097152)",5,1395957,3493109,5590261,7687413,9784565
