q,107
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(5, 16)",5,5,21,37,53,69
4,"(13, 32)",5,13,45,77,109,141
5,"(29, 64)",5,29,93,157,221,285
6,"(125, 128)",5,125,253,381,509,637
7,"(61, 256)",5,61,317,573,829,1085
8,"(189, 512)",5,189,701,1213,1725,2237
9,"(445, 1024)",5,445,1469,2493,3517,4541
10,"(1981, 2048)",5,1981,4029,6077,8125,10173
11,"(3005, 4096)",5,3005,7101,11197,15293,19389
12,"(957, 8192)",5,957,9149,17341,25533,33725
13,"(13245, 16384)",5,13245,29629,46013,62397,78781
14,"(5053, 32768)",5,5053,37821,70589,103357,136125
15,"(54205, 65536)",5,54205,119741,185277,250813,316349
16,"(21437, 131072)",5,21437,152509,283581,414653,545725
17,"(86973, 262144)",5,86973,349117,611261,873405,1135549
18,"(218045, 524288)",5,218045,742333,1266621,1790909,2315197
19,"(1004477, 1048576)",5,1004477,2053053,3101629,4150205,5198781
20,"(480189, 2097152)",5,480189,2577341,4674493,6771645,8868797
