q,95
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(9, 16)",5,9,25,41,57,73
4,"(17, 32)",5,17,49,81,113,145
5,"(1, 64)",5,1,65,129,193,257
6,"(33, 128)",5,33,161,289,417,545
7,"(225, 256)",5,225,481,737,993,1249
8,"(353, 512)",5,353,865,1377,1889,2401
9,"(609, 1024)",5,609,1633,2657,3681,4705
10,"(97, 2048)",5,97,2145,4193,6241,8289
11,"(3169, 4096)",5,3169,7265,11361,15457,19553
12,"(5217, 8192)",5,5217,13409,21601,29793,37985
13,"(1121, 16384)",5,1121,17505,33889,50273,66657
14,"(25697, 32768)",5,25697,58465,91233,124001,156769
15,"(9313, 65536)",5,9313,74849,140385,205921,271457
16,"(42081, 131072)",5,42081,173153,304225,435297,566369
17,"(238689, 262144)",5,238689,500833,762977,1025121,1287265
18,"(107617, 524288)",5,107617,631905,1156193,1680481,2204769
19,"(369761, 1048576)",5,369761,1418337,2466913,3515489,4564065
20,"(894049, 2097152)",5,894049,2991201,5088353,7185505,9282657
