q,33
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(3, 8)",5,3,11,19,27,35
3,"(7, 16)",5,7,23,39,55,71
4,"(15, 32)",5,15,47,79,111,143
5,"(63, 64)",5,63,127,191,255,319
6,"(95, 128)",5,95,223,351,479,607
7,"(159, 256)",5,159,415,671,927,1183
8,"(287, 512)",5,287,799,1311,1823,2335
9,"(543, 1024)",5,543,1567,2591,3615,4639
10,"(31, 2048)",5,31,2079,4127,6175,8223
11,"(1055, 4096)",5,1055,5151,9247,13343,17439
12,"(3103, 8192)",5,3103,11295,19487,27679,35871
13,"(7199, 16384)",5,7199,23583,39967,56351,72735
14,"(15391, 32768)",5,15391,48159,80927,113695,146463
15,"(64543, 65536)",5,64543,130079,195615,261151,326687
16,"(97311, 131072)",5,97311,228383,359455,490527,621599
17,"(162847, 262144)",5,162847,424991,687135,949279,1211423
18,"(293919, 524288)",5,293919,818207,1342495,1866783,2391071
19,"(556063, 1048576)",5,556063,1604639,2653215,3701791,4750367
20,"(31775, 2097152)",5,31775,2128927,4226079,6323231,8420383
