q,89
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(3, 8)",5,3,11,19,27,35
3,"(15, 16)",5,15,31,47,63,79
4,"(7, 32)",5,7,39,71,103,135
5,"(55, 64)",5,55,119,183,247,311
6,"(87, 128)",5,87,215,343,471,599
7,"(151, 256)",5,151,407,663,919,1175
8,"(279, 512)",5,279,791,1303,1815,2327
9,"(535, 1024)",5,535,1559,2583,3607,4631
10,"(1047, 2048)",5,1047,3095,5143,7191,9239
11,"(23, 4096)",5,23,4119,8215,12311,16407
12,"(2071, 8192)",5,2071,10263,18455,26647,34839
13,"(6167, 16384)",5,6167,22551,38935,55319,71703
14,"(30743, 32768)",5,30743,63511,96279,129047,161815
15,"(14359, 65536)",5,14359,79895,145431,210967,276503
16,"(112663, 131072)",5,112663,243735,374807,505879,636951
17,"(178199, 262144)",5,178199,440343,702487,964631,1226775
18,"(309271, 524288)",5,309271,833559,1357847,1882135,2406423
19,"(571415, 1048576)",5,571415,1619991,2668567,3717143,4765719
20,"(1095703, 2097152)",5,1095703,3192855,5290007,7387159,9484311
