q,69
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(7, 8)",5,7,15,23,31,39
3,"(11, 16)",5,11,27,43,59,75
4,"(3, 32)",5,3,35,67,99,131
5,"(19, 64)",5,19,83,147,211,275
6,"(51, 128)",5,51,179,307,435,563
7,"(243, 256)",5,243,499,755,1011,1267
8,"(115, 512)",5,115,627,1139,1651,2163
9,"(883, 1024)",5,883,1907,2931,3955,4979
10,"(371, 2048)",5,371,2419,4467,6515,8563
11,"(1395, 4096)",5,1395,5491,9587,13683,17779
12,"(7539, 8192)",5,7539,15731,23923,32115,40307
13,"(3443, 16384)",5,3443,19827,36211,52595,68979
14,"(11635, 32768)",5,11635,44403,77171,109939,142707
15,"(28019, 65536)",5,28019,93555,159091,224627,290163
16,"(126323, 131072)",5,126323,257395,388467,519539,650611
17,"(191859, 262144)",5,191859,454003,716147,978291,1240435
18,"(322931, 524288)",5,322931,847219,1371507,1895795,2420083
19,"(585075, 1048576)",5,585075,1633651,2682227,3730803,4779379
20,"(1109363, 2097152)",5,1109363,3206515,5303667,7400819,9497971
