q,85
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(7, 8)",5,7,15,23,31,39
3,"(11, 16)",5,11,27,43,59,75
4,"(19, 32)",5,19,51,83,115,147
5,"(35, 64)",5,35,99,163,227,291
6,"(67, 128)",5,67,195,323,451,579
7,"(131, 256)",5,131,387,643,899,1155
8,"(3, 512)",5,3,515,1027,1539,2051
9,"(259, 1024)",5,259,1283,2307,3331,4355
10,"(1795, 2048)",5,1795,3843,5891,7939,9987
11,"(2819, 4096)",5,2819,6915,11011,15107,19203
12,"(4867, 8192)",5,4867,13059,21251,29443,37635
13,"(8963, 16384)",5,8963,25347,41731,58115,74499
14,"(17155, 32768)",5,17155,49923,82691,115459,148227
15,"(33539, 65536)",5,33539,99075,164611,230147,295683
16,"(771, 131072)",5,771,131843,262915,393987,525059
17,"(66307, 262144)",5,66307,328451,590595,852739,1114883
18,"(459523, 524288)",5,459523,983811,1508099,2032387,2556675
19,"(721667, 1048576)",5,721667,1770243,2818819,3867395,4915971
20,"(1245955, 2097152)",5,1245955,3343107,5440259,7537411,9634563
