q,113
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(3, 8)",5,3,11,19,27,35
3,"(7, 16)",5,7,23,39,55,71
4,"(31, 32)",5,31,63,95,127,159
5,"(15, 64)",5,15,79,143,207,271
6,"(47, 128)",5,47,175,303,431,559
7,"(239, 256)",5,239,495,751,1007,1263
8,"(111, 512)",5,111,623,1135,1647,2159
9,"(367, 1024)",5,367,1391,2415,3439,4463
10,"(879, 2048)",5,879,2927,4975,7023,9071
11,"(1903, 4096)",5,1903,5999,10095,14191,18287
12,"(3951, 8192)",5,3951,12143,20335,28527,36719
13,"(8047, 16384)",5,8047,24431,40815,57199,73583
14,"(32623, 32768)",5,32623,65391,98159,130927,163695
15,"(49007, 65536)",5,49007,114543,180079,245615,311151
16,"(81775, 131072)",5,81775,212847,343919,474991,606063
17,"(147311, 262144)",5,147311,409455,671599,933743,1195887
18,"(16239, 524288)",5,16239,540527,1064815,1589103,2113391
19,"(802671, 1048576)",5,802671,1851247,2899823,3948399,4996975
20,"(1326959, 2097152)",5,1326959,3424111,5521263,7618415,9715567
