q,137
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(3, 8)",5,3,11,19,27,35
3,"(15, 16)",5,15,31,47,63,79
4,"(23, 32)",5,23,55,87,119,151
5,"(39, 64)",5,39,103,167,231,295
6,"(7, 128)",5,7,135,263,391,519
7,"(199, 256)",5,199,455,711,967,1223
8,"(327, 512)",5,327,839,1351,1863,2375
9,"(71, 1024)",5,71,1095,2119,3143,4167
10,"(1607, 2048)",5,1607,3655,5703,7751,9799
11,"(583, 4096)",5,583,4679,8775,12871,16967
12,"(6727, 8192)",5,6727,14919,23111,31303,39495
13,"(10823, 16384)",5,10823,27207,43591,59975,76359
14,"(19015, 32768)",5,19015,51783,84551,117319,150087
15,"(2631, 65536)",5,2631,68167,133703,199239,264775
16,"(100935, 131072)",5,100935,232007,363079,494151,625223
17,"(35399, 262144)",5,35399,297543,559687,821831,1083975
18,"(166471, 524288)",5,166471,690759,1215047,1739335,2263623
19,"(952903, 1048576)",5,952903,2001479,3050055,4098631,5147207
20,"(1477191, 2097152)",5,1477191,3574343,5671495,7768647,9865799
