q,127
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(9, 16)",5,9,25,41,57,73
4,"(17, 32)",5,17,49,81,113,145
5,"(33, 64)",5,33,97,161,225,289
6,"(65, 128)",5,65,193,321,449,577
7,"(1, 256)",5,1,257,513,769,1025
8,"(385, 512)",5,385,897,1409,1921,2433
9,"(641, 1024)",5,641,1665,2689,3713,4737
10,"(1153, 2048)",5,1153,3201,5249,7297,9345
11,"(2177, 4096)",5,2177,6273,10369,14465,18561
12,"(4225, 8192)",5,4225,12417,20609,28801,36993
13,"(8321, 16384)",5,8321,24705,41089,57473,73857
14,"(129, 32768)",5,129,32897,65665,98433,131201
15,"(49281, 65536)",5,49281,114817,180353,245889,311425
16,"(82049, 131072)",5,82049,213121,344193,475265,606337
17,"(147585, 262144)",5,147585,409729,671873,934017,1196161
18,"(278657, 524288)",5,278657,802945,1327233,1851521,2375809
19,"(540801, 1048576)",5,540801,1589377,2637953,3686529,4735105
20,"(1065089, 2097152)",5,1065089,3162241,5259393,7356545,9453697
