q,119
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(1, 16)",5,1,17,33,49,65
4,"(9, 32)",5,9,41,73,105,137
5,"(25, 64)",5,25,89,153,217,281
6,"(121, 128)",5,121,249,377,505,633
7,"(57, 256)",5,57,313,569,825,1081
8,"(441, 512)",5,441,953,1465,1977,2489
9,"(185, 1024)",5,185,1209,2233,3257,4281
10,"(697, 2048)",5,697,2745,4793,6841,8889
11,"(3769, 4096)",5,3769,7865,11961,16057,20153
12,"(5817, 8192)",5,5817,14009,22201,30393,38585
13,"(1721, 16384)",5,1721,18105,34489,50873,67257
14,"(26297, 32768)",5,26297,59065,91833,124601,157369
15,"(42681, 65536)",5,42681,108217,173753,239289,304825
16,"(75449, 131072)",5,75449,206521,337593,468665,599737
17,"(9913, 262144)",5,9913,272057,534201,796345,1058489
18,"(403129, 524288)",5,403129,927417,1451705,1975993,2500281
19,"(665273, 1048576)",5,665273,1713849,2762425,3811001,4859577
20,"(1189561, 2097152)",5,1189561,3286713,5383865,7481017,9578169
