q,65
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(3, 8)",5,3,11,19,27,35
3,"(7, 16)",5,7,23,39,55,71
4,"(15, 32)",5,15,47,79,111,143
5,"(31, 64)",5,31,95,159,223,287
6,"(127, 128)",5,127,255,383,511,639
7,"(191, 256)",5,191,447,703,959,1215
8,"(319, 512)",5,319,831,1343,1855,2367
9,"(575, 1024)",5,575,1599,2623,3647,4671
10,"(1087, 2048)",5,1087,3135,5183,7231,9279
11,"(2111, 4096)",5,2111,6207,10303,14399,18495
12,"(63, 8192)",5,63,8255,16447,24639,32831
13,"(4159, 16384)",5,4159,20543,36927,53311,69695
14,"(12351, 32768)",5,12351,45119,77887,110655,143423
15,"(28735, 65536)",5,28735,94271,159807,225343,290879
16,"(61503, 131072)",5,61503,192575,323647,454719,585791
17,"(127039, 262144)",5,127039,389183,651327,913471,1175615
18,"(520255, 524288)",5,520255,1044543,1568831,2093119,2617407
19,"(782399, 1048576)",5,782399,1830975,2879551,3928127,4976703
20,"(1306687, 2097152)",5,1306687,3403839,5500991,7598143,9695295
