q,139
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(5, 16)",5,5,21,37,53,69
4,"(13, 32)",5,13,45,77,109,141
5,"(61, 64)",5,61,125,189,253,317
6,"(29, 128)",5,29,157,285,413,541
7,"(93, 256)",5,93,349,605,861,1117
8,"(477, 512)",5,477,989,1501,2013,2525
9,"(733, 1024)",5,733,1757,2781,3805,4829
10,"(1245, 2048)",5,1245,3293,5341,7389,9437
11,"(221, 4096)",5,221,4317,8413,12509,16605
12,"(2269, 8192)",5,2269,10461,18653,26845,35037
13,"(14557, 16384)",5,14557,30941,47325,63709,80093
14,"(22749, 32768)",5,22749,55517,88285,121053,153821
15,"(6365, 65536)",5,6365,71901,137437,202973,268509
16,"(39133, 131072)",5,39133,170205,301277,432349,563421
17,"(104669, 262144)",5,104669,366813,628957,891101,1153245
18,"(235741, 524288)",5,235741,760029,1284317,1808605,2332893
19,"(1022173, 1048576)",5,1022173,2070749,3119325,4167901,5216477
20,"(1546461, 2097152)",5,1546461,3643613,5740765,7837917,9935069
