q,77
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(7, 8)",5,7,15,23,31,39
3,"(3, 16)",5,3,19,35,51,67
4,"(11, 32)",5,11,43,75,107,139
5,"(27, 64)",5,27,91,155,219,283
6,"(59, 128)",5,59,187,315,443,571
7,"(251, 256)",5,251,507,763,1019,1275
8,"(123, 512)",5,123,635,1147,1659,2171
9,"(379, 1024)",5,379,1403,2427,3451,4475
10,"(891, 2048)",5,891,2939,4987,7035,9083
11,"(3963, 4096)",5,3963,8059,12155,16251,20347
12,"(6011, 8192)",5,6011,14203,22395,30587,38779
13,"(10107, 16384)",5,10107,26491,42875,59259,75643
14,"(1915, 32768)",5,1915,34683,67451,100219,132987
15,"(18299, 65536)",5,18299,83835,149371,214907,280443
16,"(116603, 131072)",5,116603,247675,378747,509819,640891
17,"(182139, 262144)",5,182139,444283,706427,968571,1230715
18,"(51067, 524288)",5,51067,575355,1099643,1623931,2148219
19,"(837499, 1048576)",5,837499,1886075,2934651,3983227,5031803
20,"(313211, 2097152)",5,313211,2410363,4507515,6604667,8701819
