q,59
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(5, 16)",5,5,21,37,53,69
4,"(29, 32)",5,29,61,93,125,157
5,"(45, 64)",5,45,109,173,237,301
6,"(77, 128)",5,77,205,333,461,589
7,"(141, 256)",5,141,397,653,909,1165
8,"(13, 512)",5,13,525,1037,1549,2061
9,"(269, 1024)",5,269,1293,2317,3341,4365
10,"(781, 2048)",5,781,2829,4877,6925,8973
11,"(3853, 4096)",5,3853,7949,12045,16141,20237
12,"(5901, 8192)",5,5901,14093,22285,30477,38669
13,"(1805, 16384)",5,1805,18189,34573,50957,67341
14,"(26381, 32768)",5,26381,59149,91917,124685,157453
15,"(42765, 65536)",5,42765,108301,173837,239373,304909
16,"(9997, 131072)",5,9997,141069,272141,403213,534285
17,"(206605, 262144)",5,206605,468749,730893,993037,1255181
18,"(75533, 524288)",5,75533,599821,1124109,1648397,2172685
19,"(861965, 1048576)",5,861965,1910541,2959117,4007693,5056269
20,"(337677, 2097152)",5,337677,2434829,4531981,6629133,8726285
