q,115
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(1, 8)",5,1,9,17,25,33
3,"(13, 16)",5,13,29,45,61,77
4,"(21, 32)",5,21,53,85,117,149
5,"(37, 64)",5,37,101,165,229,293
6,"(5, 128)",5,5,133,261,389,517
7,"(197, 256)",5,197,453,709,965,1221
8,"(69, 512)",5,69,581,1093,1605,2117
9,"(325, 1024)",5,325,1349,2373,3397,4421
10,"(1861, 2048)",5,1861,3909,5957,8005,10053
11,"(837, 4096)",5,837,4933,9029,13125,17221
12,"(2885, 8192)",5,2885,11077,19269,27461,35653
13,"(15173, 16384)",5,15173,31557,47941,64325,80709
14,"(6981, 32768)",5,6981,39749,72517,105285,138053
15,"(56133, 65536)",5,56133,121669,187205,252741,318277
16,"(23365, 131072)",5,23365,154437,285509,416581,547653
17,"(219973, 262144)",5,219973,482117,744261,1006405,1268549
18,"(88901, 524288)",5,88901,613189,1137477,1661765,2186053
19,"(351045, 1048576)",5,351045,1399621,2448197,3496773,4545349
20,"(1923909, 2097152)",5,1923909,4021061,6118213,8215365,10312517
