q,31
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(9, 16)",5,9,25,41,57,73
4,"(17, 32)",5,17,49,81,113,145
5,"(1, 64)",5,1,65,129,193,257
6,"(97, 128)",5,97,225,353,481,609
7,"(161, 256)",5,161,417,673,929,1185
8,"(289, 512)",5,289,801,1313,1825,2337
9,"(545, 1024)",5,545,1569,2593,3617,4641
10,"(33, 2048)",5,33,2081,4129,6177,8225
11,"(3105, 4096)",5,3105,7201,11297,15393,19489
12,"(5153, 8192)",5,5153,13345,21537,29729,37921
13,"(9249, 16384)",5,9249,25633,42017,58401,74785
14,"(17441, 32768)",5,17441,50209,82977,115745,148513
15,"(1057, 65536)",5,1057,66593,132129,197665,263201
16,"(99361, 131072)",5,99361,230433,361505,492577,623649
17,"(164897, 262144)",5,164897,427041,689185,951329,1213473
18,"(295969, 524288)",5,295969,820257,1344545,1868833,2393121
19,"(558113, 1048576)",5,558113,1606689,2655265,3703841,4752417
20,"(33825, 2097152)",5,33825,2130977,4228129,6325281,8422433
