q,71
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(1, 16)",5,1,17,33,49,65
4,"(25, 32)",5,25,57,89,121,153
5,"(41, 64)",5,41,105,169,233,297
6,"(73, 128)",5,73,201,329,457,585
7,"(9, 256)",5,9,265,521,777,1033
8,"(393, 512)",5,393,905,1417,1929,2441
9,"(137, 1024)",5,137,1161,2185,3209,4233
10,"(649, 2048)",5,649,2697,4745,6793,8841
11,"(3721, 4096)",5,3721,7817,11913,16009,20105
12,"(1673, 8192)",5,1673,9865,18057,26249,34441
13,"(13961, 16384)",5,13961,30345,46729,63113,79497
14,"(5769, 32768)",5,5769,38537,71305,104073,136841
15,"(54921, 65536)",5,54921,120457,185993,251529,317065
16,"(87689, 131072)",5,87689,218761,349833,480905,611977
17,"(153225, 262144)",5,153225,415369,677513,939657,1201801
18,"(284297, 524288)",5,284297,808585,1332873,1857161,2381449
19,"(22153, 1048576)",5,22153,1070729,2119305,3167881,4216457
20,"(546441, 2097152)",5,546441,2643593,4740745,6837897,8935049
