q,97
r,modulo,len_odds,odds
1,"(1, 4)",5,1,5,9,13,17
2,"(3, 8)",5,3,11,19,27,35
3,"(7, 16)",5,7,23,39,55,71
4,"(15, 32)",5,15,47,79,111,143
5,"(63, 64)",5,63,127,191,255,319
6,"(31, 128)",5,31,159,287,415,543
7,"(223, 256)",5,223,479,735,991,1247
8,"(351, 512)",5,351,863,1375,1887,2399
9,"(607, 1024)",5,607,1631,2655,3679,4703
10,"(95, 2048)",5,95,2143,4191,6239,8287
11,"(1119, 4096)",5,1119,5215,9311,13407,17503
12,"(3167, 8192)",5,3167,11359,19551,27743,35935
13,"(15455, 16384)",5,15455,31839,48223,64607,80991
14,"(7263, 32768)",5,7263,40031,72799,105567,138335
15,"(56415, 65536)",5,56415,121951,187487,253023,318559
16,"(23647, 131072)",5,23647,154719,285791,416863,547935
17,"(220255, 262144)",5,220255,482399,744543,1006687,1268831
18,"(89183, 524288)",5,89183,613471,1137759,1662047,2186335
19,"(351327, 1048576)",5,351327,1399903,2448479,3497055,4545631
20,"(875615, 2097152)",5,875615,2972767,5069919,7167071,9264223
