q,55
r,modulo,len_odds,odds
1,"(3, 4)",5,3,7,11,15,19
2,"(5, 8)",5,5,13,21,29,37
3,"(1, 16)",5,1,17,33,49,65
4,"(9, 32)",5,9,41,73,105,137
5,"(25, 64)",5,25,89,153,217,281
6,"(57, 128)",5,57,185,313,441,569
7,"(249, 256)",5,249,505,761,1017,1273
8,"(377, 512)",5,377,889,1401,1913,2425
9,"(121, 1024)",5,121,1145,2169,3193,4217
10,"(1657, 2048)",5,1657,3705,5753,7801,9849
11,"(633, 4096)",5,633,4729,8825,12921,17017
12,"(6777, 8192)",5,6777,14969,23161,31353,39545
13,"(10873, 16384)",5,10873,27257,43641,60025,76409
14,"(2681, 32768)",5,2681,35449,68217,100985,133753
15,"(51833, 65536)",5,51833,117369,182905,248441,313977
16,"(84601, 131072)",5,84601,215673,346745,477817,608889
17,"(150137, 262144)",5,150137,412281,674425,936569,1198713
18,"(281209, 524288)",5,281209,805497,1329785,1854073,2378361
19,"(543353, 1048576)",5,543353,1591929,2640505,3689081,4737657
20,"(19065, 2097152)",5,19065,2116217,4213369,6310521,8407673
