r,base_odd,odds_diff
1,1,4
2,7,8
3,3,16
4,11,32
5,59,64
6,27,128
7,219,256
8,347,512
9,603,1024
10,1115,2048
11,2139,4096
12,91,8192
13,4187,16384
14,28763,32768
15,12379,65536
16,45147,131072
17,241755,262144
18,110683,524288
19,897115,1048576
20,1421403,2097152
21,2469979,4194304
22,4567131,8388608
23,8761435,16777216
24,372827,33554432
25,17150043,67108864
