r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153,161,169,177,185,193,201,209,217,225,233,241,249,257,265,273,281,289,297,305,313,321,329,337,345,353,361,369,377,385,393,401,409,417,425,433,441,449,457,465,473,481,489,497,505,513,521,529,537,545,553,561,569,577,585,593,601,609,617,625,633,641,649,657,665,673,681,689,697,705,713,721,729,737,745,753,761,769,777,785,793
3,13,29,45,61,77,93,109,125,141,157,173,189,205,221,237,253,269,285,301,317,333,349,365,381,397,413,429,445,461,477,493,509,525,541,557,573,589,605,621,637,653,669,685,701,717,733,749,765,781,797,813,829,845,861,877,893,909,925,941,957,973,989,1005,1021,1037,1053,1069,1085,1101,1117,1133,1149,1165,1181,1197,1213,1229,1245,1261,1277,1293,1309,1325,1341,1357,1373,1389,1405,1421,1437,1453,1469,1485,1501,1517,1533,1549,1565,1581,1597
4,5,37,69,101,133,165,197,229,261,293,325,357,389,421,453,485,517,549,581,613,645,677,709,741,773,805,837,869,901,933,965,997,1029,1061,1093,1125,1157,1189,1221,1253,1285,1317,1349,1381,1413,1445,1477,1509,1541,1573,1605,1637,1669,1701,1733,1765,1797,1829,1861,1893,1925,1957,1989,2021,2053,2085,2117,2149,2181,2213,2245,2277,2309,2341,2373,2405,2437,2469,2501,2533,2565,2597,2629,2661,2693,2725,2757,2789,2821,2853,2885,2917,2949,2981,3013,3045,3077,3109,3141,3173
5,21,85,149,213,277,341,405,469,533,597,661,725,789,853,917,981,1045,1109,1173,1237,1301,1365,1429,1493,1557,1621,1685,1749,1813,1877,1941,2005,2069,2133,2197,2261,2325,2389,2453,2517,2581,2645,2709,2773,2837,2901,2965,3029,3093,3157,3221,3285,3349,3413,3477,3541,3605,3669,3733,3797,3861,3925,3989,4053,4117,4181,4245,4309,4373,4437,4501,4565,4629,4693,4757,4821,4885,4949,5013,5077,5141,5205,5269,5333,5397,5461,5525,5589,5653,5717,5781,5845,5909,5973,6037,6101,6165,6229,6293,6357
6,53,181,309,437,565,693,821,949,1077,1205,1333,1461,1589,1717,1845,1973,2101,2229,2357,2485,2613,2741,2869,2997,3125,3253,3381,3509,3637,3765,3893,4021,4149,4277,4405,4533,4661,4789,4917,5045,5173,5301,5429,5557,5685,5813,5941,6069,6197,6325,6453,6581,6709,6837,6965,7093,7221,7349,7477,7605,7733,7861,7989,8117,8245,8373,8501,8629,8757,8885,9013,9141,9269,9397,9525,9653,9781,9909,10037,10165,10293,10421,10549,10677,10805,10933,11061,11189,11317,11445,11573,11701,11829,11957,12085,12213,12341,12469,12597,12725
7,245,501,757,1013,1269,1525,1781,2037,2293,2549,2805,3061,3317,3573,3829,4085,4341,4597,4853,5109,5365,5621,5877,6133,6389,6645,6901,7157,7413,7669,7925,8181,8437,8693,8949,9205,9461,9717,9973,10229,10485,10741,10997,11253,11509,11765,12021,12277,12533,12789,13045,13301,13557,13813,14069,14325,14581,14837,15093,15349,15605,15861,16117,16373,16629,16885,17141,17397,17653,17909,18165,18421,18677,18933,19189,19445,19701,19957,20213,20469,20725,20981,21237,21493,21749,22005,22261,22517,22773,23029,23285,23541,23797,24053,24309,24565,24821,25077,25333,25589
8,373,885,1397,1909,2421,2933,3445,3957,4469,4981,5493,6005,6517,7029,7541,8053,8565,9077,9589,10101,10613,11125,11637,12149,12661,13173,13685,14197,14709,15221,15733,16245,16757,17269,17781,18293,18805,19317,19829,20341,20853,21365,21877,22389,22901,23413,23925,24437,24949,25461,25973,26485,26997,27509,28021,28533,29045,29557,30069,30581,31093,31605,32117,32629,33141,33653,34165,34677,35189,35701,36213,36725,37237,37749,38261,38773,39285,39797,40309,40821,41333,41845,42357,42869,43381,43893,44405,44917,45429,45941,46453,46965,47477,47989,48501,49013,49525,50037,50549,51061
9,629,1653,2677,3701,4725,5749,6773,7797,8821,9845,10869,11893,12917,13941,14965,15989,17013,18037,19061,20085,21109,22133,23157,24181,25205,26229,27253,28277,29301,30325,31349,32373,33397,34421,35445,36469,37493,38517,39541,40565,41589,42613,43637,44661,45685,46709,47733,48757,49781,50805,51829,52853,53877,54901,55925,56949,57973,58997,60021,61045,62069,63093,64117,65141,66165,67189,68213,69237,70261,71285,72309,73333,74357,75381,76405,77429,78453,79477,80501,81525,82549,83573,84597,85621,86645,87669,88693,89717,90741,91765,92789,93813,94837,95861,96885,97909,98933,99957,100981,102005
10,1141,3189,5237,7285,9333,11381,13429,15477,17525,19573,21621,23669,25717,27765,29813,31861,33909,35957,38005,40053,42101,44149,46197,48245,50293,52341,54389,56437,58485,60533,62581,64629,66677,68725,70773,72821,74869,76917,78965,81013,83061,85109,87157,89205,91253,93301,95349,97397,99445,101493,103541,105589,107637,109685,111733,113781,115829,117877,119925,121973,124021,126069,128117,130165,132213,134261,136309,138357,140405,142453,144501,146549,148597,150645,152693,154741,156789,158837,160885,162933,164981,167029,169077,171125,173173,175221,177269,179317,181365,183413,185461,187509,189557,191605,193653,195701,197749,199797,201845,203893
