r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593,609,625,641,657,673,689,705,721,737,753,769,785,801,817,833,849,865,881,897,913,929,945,961,977,993,1009,1025,1041,1057,1073,1089,1105,1121,1137,1153,1169,1185,1201,1217,1233,1249,1265,1281,1297,1313,1329,1345,1361,1377,1393,1409,1425,1441,1457,1473,1489,1505,1521,1537,1553,1569,1585
4,25,57,89,121,153,185,217,249,281,313,345,377,409,441,473,505,537,569,601,633,665,697,729,761,793,825,857,889,921,953,985,1017,1049,1081,1113,1145,1177,1209,1241,1273,1305,1337,1369,1401,1433,1465,1497,1529,1561,1593,1625,1657,1689,1721,1753,1785,1817,1849,1881,1913,1945,1977,2009,2041,2073,2105,2137,2169,2201,2233,2265,2297,2329,2361,2393,2425,2457,2489,2521,2553,2585,2617,2649,2681,2713,2745,2777,2809,2841,2873,2905,2937,2969,3001,3033,3065,3097,3129,3161,3193
5,9,73,137,201,265,329,393,457,521,585,649,713,777,841,905,969,1033,1097,1161,1225,1289,1353,1417,1481,1545,1609,1673,1737,1801,1865,1929,1993,2057,2121,2185,2249,2313,2377,2441,2505,2569,2633,2697,2761,2825,2889,2953,3017,3081,3145,3209,3273,3337,3401,3465,3529,3593,3657,3721,3785,3849,3913,3977,4041,4105,4169,4233,4297,4361,4425,4489,4553,4617,4681,4745,4809,4873,4937,5001,5065,5129,5193,5257,5321,5385,5449,5513,5577,5641,5705,5769,5833,5897,5961,6025,6089,6153,6217,6281,6345
6,41,169,297,425,553,681,809,937,1065,1193,1321,1449,1577,1705,1833,1961,2089,2217,2345,2473,2601,2729,2857,2985,3113,3241,3369,3497,3625,3753,3881,4009,4137,4265,4393,4521,4649,4777,4905,5033,5161,5289,5417,5545,5673,5801,5929,6057,6185,6313,6441,6569,6697,6825,6953,7081,7209,7337,7465,7593,7721,7849,7977,8105,8233,8361,8489,8617,8745,8873,9001,9129,9257,9385,9513,9641,9769,9897,10025,10153,10281,10409,10537,10665,10793,10921,11049,11177,11305,11433,11561,11689,11817,11945,12073,12201,12329,12457,12585,12713
7,233,489,745,1001,1257,1513,1769,2025,2281,2537,2793,3049,3305,3561,3817,4073,4329,4585,4841,5097,5353,5609,5865,6121,6377,6633,6889,7145,7401,7657,7913,8169,8425,8681,8937,9193,9449,9705,9961,10217,10473,10729,10985,11241,11497,11753,12009,12265,12521,12777,13033,13289,13545,13801,14057,14313,14569,14825,15081,15337,15593,15849,16105,16361,16617,16873,17129,17385,17641,17897,18153,18409,18665,18921,19177,19433,19689,19945,20201,20457,20713,20969,21225,21481,21737,21993,22249,22505,22761,23017,23273,23529,23785,24041,24297,24553,24809,25065,25321,25577
8,361,873,1385,1897,2409,2921,3433,3945,4457,4969,5481,5993,6505,7017,7529,8041,8553,9065,9577,10089,10601,11113,11625,12137,12649,13161,13673,14185,14697,15209,15721,16233,16745,17257,17769,18281,18793,19305,19817,20329,20841,21353,21865,22377,22889,23401,23913,24425,24937,25449,25961,26473,26985,27497,28009,28521,29033,29545,30057,30569,31081,31593,32105,32617,33129,33641,34153,34665,35177,35689,36201,36713,37225,37737,38249,38761,39273,39785,40297,40809,41321,41833,42345,42857,43369,43881,44393,44905,45417,45929,46441,46953,47465,47977,48489,49001,49513,50025,50537,51049
9,617,1641,2665,3689,4713,5737,6761,7785,8809,9833,10857,11881,12905,13929,14953,15977,17001,18025,19049,20073,21097,22121,23145,24169,25193,26217,27241,28265,29289,30313,31337,32361,33385,34409,35433,36457,37481,38505,39529,40553,41577,42601,43625,44649,45673,46697,47721,48745,49769,50793,51817,52841,53865,54889,55913,56937,57961,58985,60009,61033,62057,63081,64105,65129,66153,67177,68201,69225,70249,71273,72297,73321,74345,75369,76393,77417,78441,79465,80489,81513,82537,83561,84585,85609,86633,87657,88681,89705,90729,91753,92777,93801,94825,95849,96873,97897,98921,99945,100969,101993
10,1129,3177,5225,7273,9321,11369,13417,15465,17513,19561,21609,23657,25705,27753,29801,31849,33897,35945,37993,40041,42089,44137,46185,48233,50281,52329,54377,56425,58473,60521,62569,64617,66665,68713,70761,72809,74857,76905,78953,81001,83049,85097,87145,89193,91241,93289,95337,97385,99433,101481,103529,105577,107625,109673,111721,113769,115817,117865,119913,121961,124009,126057,128105,130153,132201,134249,136297,138345,140393,142441,144489,146537,148585,150633,152681,154729,156777,158825,160873,162921,164969,167017,169065,171113,173161,175209,177257,179305,181353,183401,185449,187497,189545,191593,193641,195689,197737,199785,201833,203881
