r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
11,2153,6249,10345,14441,18537,22633,26729,30825,34921,39017,43113,47209,51305,55401,59497,63593,67689,71785,75881,79977,84073,88169,92265,96361,100457,104553,108649,112745,116841,120937,125033,129129,133225,137321,141417,145513,149609,153705,157801,161897,165993,170089,174185,178281,182377,186473,190569,194665,198761,202857,206953,211049,215145,219241,223337,227433,231529,235625,239721,243817,247913,252009,256105,260201,264297,268393,272489,276585,280681,284777,288873,292969,297065,301161,305257,309353,313449,317545,321641,325737,329833,333929,338025,342121,346217,350313,354409,358505,362601,366697,370793,374889,378985,383081,387177,391273,395369,399465,403561,407657
12,105,8297,16489,24681,32873,41065,49257,57449,65641,73833,82025,90217,98409,106601,114793,122985,131177,139369,147561,155753,163945,172137,180329,188521,196713,204905,213097,221289,229481,237673,245865,254057,262249,270441,278633,286825,295017,303209,311401,319593,327785,335977,344169,352361,360553,368745,376937,385129,393321,401513,409705,417897,426089,434281,442473,450665,458857,467049,475241,483433,491625,499817,508009,516201,524393,532585,540777,548969,557161,565353,573545,581737,589929,598121,606313,614505,622697,630889,639081,647273,655465,663657,671849,680041,688233,696425,704617,712809,721001,729193,737385,745577,753769,761961,770153,778345,786537,794729,802921,811113
13,12393,28777,45161,61545,77929,94313,110697,127081,143465,159849,176233,192617,209001,225385,241769,258153,274537,290921,307305,323689,340073,356457,372841,389225,405609,421993,438377,454761,471145,487529,503913,520297,536681,553065,569449,585833,602217,618601,634985,651369,667753,684137,700521,716905,733289,749673,766057,782441,798825,815209,831593,847977,864361,880745,897129,913513,929897,946281,962665,979049,995433,1011817,1028201,1044585,1060969,1077353,1093737,1110121,1126505,1142889,1159273,1175657,1192041,1208425,1224809,1241193,1257577,1273961,1290345,1306729,1323113,1339497,1355881,1372265,1388649,1405033,1421417,1437801,1454185,1470569,1486953,1503337,1519721,1536105,1552489,1568873,1585257,1601641,1618025,1634409
14,20585,53353,86121,118889,151657,184425,217193,249961,282729,315497,348265,381033,413801,446569,479337,512105,544873,577641,610409,643177,675945,708713,741481,774249,807017,839785,872553,905321,938089,970857,1003625,1036393,1069161,1101929,1134697,1167465,1200233,1233001,1265769,1298537,1331305,1364073,1396841,1429609,1462377,1495145,1527913,1560681,1593449,1626217,1658985,1691753,1724521,1757289,1790057,1822825,1855593,1888361,1921129,1953897,1986665,2019433,2052201,2084969,2117737,2150505,2183273,2216041,2248809,2281577,2314345,2347113,2379881,2412649,2445417,2478185,2510953,2543721,2576489,2609257,2642025,2674793,2707561,2740329,2773097,2805865,2838633,2871401,2904169,2936937,2969705,3002473,3035241,3068009,3100777,3133545,3166313,3199081,3231849,3264617
15,4201,69737,135273,200809,266345,331881,397417,462953,528489,594025,659561,725097,790633,856169,921705,987241,1052777,1118313,1183849,1249385,1314921,1380457,1445993,1511529,1577065,1642601,1708137,1773673,1839209,1904745,1970281,2035817,2101353,2166889,2232425,2297961,2363497,2429033,2494569,2560105,2625641,2691177,2756713,2822249,2887785,2953321,3018857,3084393,3149929,3215465,3281001,3346537,3412073,3477609,3543145,3608681,3674217,3739753,3805289,3870825,3936361,4001897,4067433,4132969,4198505,4264041,4329577,4395113,4460649,4526185,4591721,4657257,4722793,4788329,4853865,4919401,4984937,5050473,5116009,5181545,5247081,5312617,5378153,5443689,5509225,5574761,5640297,5705833,5771369,5836905,5902441,5967977,6033513,6099049,6164585,6230121,6295657,6361193,6426729,6492265
16,102505,233577,364649,495721,626793,757865,888937,1020009,1151081,1282153,1413225,1544297,1675369,1806441,1937513,2068585,2199657,2330729,2461801,2592873,2723945,2855017,2986089,3117161,3248233,3379305,3510377,3641449,3772521,3903593,4034665,4165737,4296809,4427881,4558953,4690025,4821097,4952169,5083241,5214313,5345385,5476457,5607529,5738601,5869673,6000745,6131817,6262889,6393961,6525033,6656105,6787177,6918249,7049321,7180393,7311465,7442537,7573609,7704681,7835753,7966825,8097897,8228969,8360041,8491113,8622185,8753257,8884329,9015401,9146473,9277545,9408617,9539689,9670761,9801833,9932905,10063977,10195049,10326121,10457193,10588265,10719337,10850409,10981481,11112553,11243625,11374697,11505769,11636841,11767913,11898985,12030057,12161129,12292201,12423273,12554345,12685417,12816489,12947561,13078633
17,36969,299113,561257,823401,1085545,1347689,1609833,1871977,2134121,2396265,2658409,2920553,3182697,3444841,3706985,3969129,4231273,4493417,4755561,5017705,5279849,5541993,5804137,6066281,6328425,6590569,6852713,7114857,7377001,7639145,7901289,8163433,8425577,8687721,8949865,9212009,9474153,9736297,9998441,10260585,10522729,10784873,11047017,11309161,11571305,11833449,12095593,12357737,12619881,12882025,13144169,13406313,13668457,13930601,14192745,14454889,14717033,14979177,15241321,15503465,15765609,16027753,16289897,16552041,16814185,17076329,17338473,17600617,17862761,18124905,18387049,18649193,18911337,19173481,19435625,19697769,19959913,20222057,20484201,20746345,21008489,21270633,21532777,21794921,22057065,22319209,22581353,22843497,23105641,23367785,23629929,23892073,24154217,24416361,24678505,24940649,25202793,25464937,25727081,25989225
18,168041,692329,1216617,1740905,2265193,2789481,3313769,3838057,4362345,4886633,5410921,5935209,6459497,6983785,7508073,8032361,8556649,9080937,9605225,10129513,10653801,11178089,11702377,12226665,12750953,13275241,13799529,14323817,14848105,15372393,15896681,16420969,16945257,17469545,17993833,18518121,19042409,19566697,20090985,20615273,21139561,21663849,22188137,22712425,23236713,23761001,24285289,24809577,25333865,25858153,26382441,26906729,27431017,27955305,28479593,29003881,29528169,30052457,30576745,31101033,31625321,32149609,32673897,33198185,33722473,34246761,34771049,35295337,35819625,36343913,36868201,37392489,37916777,38441065,38965353,39489641,40013929,40538217,41062505,41586793,42111081,42635369,43159657,43683945,44208233,44732521,45256809,45781097,46305385,46829673,47353961,47878249,48402537,48926825,49451113,49975401,50499689,51023977,51548265,52072553
19,954473,2003049,3051625,4100201,5148777,6197353,7245929,8294505,9343081,10391657,11440233,12488809,13537385,14585961,15634537,16683113,17731689,18780265,19828841,20877417,21925993,22974569,24023145,25071721,26120297,27168873,28217449,29266025,30314601,31363177,32411753,33460329,34508905,35557481,36606057,37654633,38703209,39751785,40800361,41848937,42897513,43946089,44994665,46043241,47091817,48140393,49188969,50237545,51286121,52334697,53383273,54431849,55480425,56529001,57577577,58626153,59674729,60723305,61771881,62820457,63869033,64917609,65966185,67014761,68063337,69111913,70160489,71209065,72257641,73306217,74354793,75403369,76451945,77500521,78549097,79597673,80646249,81694825,82743401,83791977,84840553,85889129,86937705,87986281,89034857,90083433,91132009,92180585,93229161,94277737,95326313,96374889,97423465,98472041,99520617,,,,,
20,1478761,3575913,5673065,7770217,9867369,11964521,14061673,16158825,18255977,20353129,22450281,24547433,26644585,28741737,30838889,32936041,35033193,37130345,39227497,41324649,43421801,45518953,47616105,49713257,51810409,53907561,56004713,58101865,60199017,62296169,64393321,66490473,68587625,70684777,72781929,74879081,76976233,79073385,81170537,83267689,85364841,87461993,89559145,91656297,93753449,95850601,97947753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2527337,6721641,10915945,15110249,19304553,23498857,27693161,31887465,36081769,40276073,44470377,48664681,52858985,57053289,61247593,65441897,69636201,73830505,78024809,82219113,86413417,90607721,94802025,98996329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4624489,13013097,21401705,29790313,38178921,46567529,54956137,63344745,71733353,80121961,88510569,96899177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,8818793,25596009,42373225,59150441,75927657,92704873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,430185,33984617,67539049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,50761833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,84316265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,17207401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
