r,base_odd,odds_diff
1,1,4
2,7,8
3,11,16
4,3,32
5,51,64
6,19,128
7,211,256
8,339,512
9,595,1024
10,83,2048
11,3155,4096
12,5203,8192
13,1107,16384
14,9299,32768
15,25683,65536
16,58451,131072
17,123987,262144
18,517203,524288
19,779347,1048576
20,255059,2097152
21,1303635,4194304
22,7595091,8388608
23,3400787,16777216
24,28566611,33554432
25,11789395,67108864
