r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,7,15,23,31,39,47,55,63,71,79,87,95,103,111,119,127,135,143,151,159,167,175,183,191,199,207,215,223,231,239,247,255,263,271,279,287,295,303,311,319,327,335,343,351,359,367,375,383,391,399,407,415,423,431,439,447,455,463,471,479,487,495,503,511,519,527,535,543,551,559,567,575,583,591,599,607,615,623,631,639,647,655,663,671,679,687,695,703,711,719,727,735,743,751,759,767,775,783,791,799
3,11,27,43,59,75,91,107,123,139,155,171,187,203,219,235,251,267,283,299,315,331,347,363,379,395,411,427,443,459,475,491,507,523,539,555,571,587,603,619,635,651,667,683,699,715,731,747,763,779,795,811,827,843,859,875,891,907,923,939,955,971,987,1003,1019,1035,1051,1067,1083,1099,1115,1131,1147,1163,1179,1195,1211,1227,1243,1259,1275,1291,1307,1323,1339,1355,1371,1387,1403,1419,1435,1451,1467,1483,1499,1515,1531,1547,1563,1579,1595
4,3,35,67,99,131,163,195,227,259,291,323,355,387,419,451,483,515,547,579,611,643,675,707,739,771,803,835,867,899,931,963,995,1027,1059,1091,1123,1155,1187,1219,1251,1283,1315,1347,1379,1411,1443,1475,1507,1539,1571,1603,1635,1667,1699,1731,1763,1795,1827,1859,1891,1923,1955,1987,2019,2051,2083,2115,2147,2179,2211,2243,2275,2307,2339,2371,2403,2435,2467,2499,2531,2563,2595,2627,2659,2691,2723,2755,2787,2819,2851,2883,2915,2947,2979,3011,3043,3075,3107,3139,3171
5,51,115,179,243,307,371,435,499,563,627,691,755,819,883,947,1011,1075,1139,1203,1267,1331,1395,1459,1523,1587,1651,1715,1779,1843,1907,1971,2035,2099,2163,2227,2291,2355,2419,2483,2547,2611,2675,2739,2803,2867,2931,2995,3059,3123,3187,3251,3315,3379,3443,3507,3571,3635,3699,3763,3827,3891,3955,4019,4083,4147,4211,4275,4339,4403,4467,4531,4595,4659,4723,4787,4851,4915,4979,5043,5107,5171,5235,5299,5363,5427,5491,5555,5619,5683,5747,5811,5875,5939,6003,6067,6131,6195,6259,6323,6387
6,19,147,275,403,531,659,787,915,1043,1171,1299,1427,1555,1683,1811,1939,2067,2195,2323,2451,2579,2707,2835,2963,3091,3219,3347,3475,3603,3731,3859,3987,4115,4243,4371,4499,4627,4755,4883,5011,5139,5267,5395,5523,5651,5779,5907,6035,6163,6291,6419,6547,6675,6803,6931,7059,7187,7315,7443,7571,7699,7827,7955,8083,8211,8339,8467,8595,8723,8851,8979,9107,9235,9363,9491,9619,9747,9875,10003,10131,10259,10387,10515,10643,10771,10899,11027,11155,11283,11411,11539,11667,11795,11923,12051,12179,12307,12435,12563,12691
7,211,467,723,979,1235,1491,1747,2003,2259,2515,2771,3027,3283,3539,3795,4051,4307,4563,4819,5075,5331,5587,5843,6099,6355,6611,6867,7123,7379,7635,7891,8147,8403,8659,8915,9171,9427,9683,9939,10195,10451,10707,10963,11219,11475,11731,11987,12243,12499,12755,13011,13267,13523,13779,14035,14291,14547,14803,15059,15315,15571,15827,16083,16339,16595,16851,17107,17363,17619,17875,18131,18387,18643,18899,19155,19411,19667,19923,20179,20435,20691,20947,21203,21459,21715,21971,22227,22483,22739,22995,23251,23507,23763,24019,24275,24531,24787,25043,25299,25555
8,339,851,1363,1875,2387,2899,3411,3923,4435,4947,5459,5971,6483,6995,7507,8019,8531,9043,9555,10067,10579,11091,11603,12115,12627,13139,13651,14163,14675,15187,15699,16211,16723,17235,17747,18259,18771,19283,19795,20307,20819,21331,21843,22355,22867,23379,23891,24403,24915,25427,25939,26451,26963,27475,27987,28499,29011,29523,30035,30547,31059,31571,32083,32595,33107,33619,34131,34643,35155,35667,36179,36691,37203,37715,38227,38739,39251,39763,40275,40787,41299,41811,42323,42835,43347,43859,44371,44883,45395,45907,46419,46931,47443,47955,48467,48979,49491,50003,50515,51027
9,595,1619,2643,3667,4691,5715,6739,7763,8787,9811,10835,11859,12883,13907,14931,15955,16979,18003,19027,20051,21075,22099,23123,24147,25171,26195,27219,28243,29267,30291,31315,32339,33363,34387,35411,36435,37459,38483,39507,40531,41555,42579,43603,44627,45651,46675,47699,48723,49747,50771,51795,52819,53843,54867,55891,56915,57939,58963,59987,61011,62035,63059,64083,65107,66131,67155,68179,69203,70227,71251,72275,73299,74323,75347,76371,77395,78419,79443,80467,81491,82515,83539,84563,85587,86611,87635,88659,89683,90707,91731,92755,93779,94803,95827,96851,97875,98899,99923,100947,101971
10,83,2131,4179,6227,8275,10323,12371,14419,16467,18515,20563,22611,24659,26707,28755,30803,32851,34899,36947,38995,41043,43091,45139,47187,49235,51283,53331,55379,57427,59475,61523,63571,65619,67667,69715,71763,73811,75859,77907,79955,82003,84051,86099,88147,90195,92243,94291,96339,98387,100435,102483,104531,106579,108627,110675,112723,114771,116819,118867,120915,122963,125011,127059,129107,131155,133203,135251,137299,139347,141395,143443,145491,147539,149587,151635,153683,155731,157779,159827,161875,163923,165971,168019,170067,172115,174163,176211,178259,180307,182355,184403,186451,188499,190547,192595,194643,196691,198739,200787,202835
11,3155,7251,11347,15443,19539,23635,27731,31827,35923,40019,44115,48211,52307,56403,60499,64595,68691,72787,76883,80979,85075,89171,93267,97363,101459,105555,109651,113747,117843,121939,126035,130131,134227,138323,142419,146515,150611,154707,158803,162899,166995,171091,175187,179283,183379,187475,191571,195667,199763,203859,207955,212051,216147,220243,224339,228435,232531,236627,240723,244819,248915,253011,257107,261203,265299,269395,273491,277587,281683,285779,289875,293971,298067,302163,306259,310355,314451,318547,322643,326739,330835,334931,339027,343123,347219,351315,355411,359507,363603,367699,371795,375891,379987,384083,388179,392275,396371,400467,404563,408659
12,5203,13395,21587,29779,37971,46163,54355,62547,70739,78931,87123,95315,103507,111699,119891,128083,136275,144467,152659,160851,169043,177235,185427,193619,201811,210003,218195,226387,234579,242771,250963,259155,267347,275539,283731,291923,300115,308307,316499,324691,332883,341075,349267,357459,365651,373843,382035,390227,398419,406611,414803,422995,431187,439379,447571,455763,463955,472147,480339,488531,496723,504915,513107,521299,529491,537683,545875,554067,562259,570451,578643,586835,595027,603219,611411,619603,627795,635987,644179,652371,660563,668755,676947,685139,693331,701523,709715,717907,726099,734291,742483,750675,758867,767059,775251,783443,791635,799827,808019,816211
13,1107,17491,33875,50259,66643,83027,99411,115795,132179,148563,164947,181331,197715,214099,230483,246867,263251,279635,296019,312403,328787,345171,361555,377939,394323,410707,427091,443475,459859,476243,492627,509011,525395,541779,558163,574547,590931,607315,623699,640083,656467,672851,689235,705619,722003,738387,754771,771155,787539,803923,820307,836691,853075,869459,885843,902227,918611,934995,951379,967763,984147,1000531,1016915,1033299,1049683,1066067,1082451,1098835,1115219,1131603,1147987,1164371,1180755,1197139,1213523,1229907,1246291,1262675,1279059,1295443,1311827,1328211,1344595,1360979,1377363,1393747,1410131,1426515,1442899,1459283,1475667,1492051,1508435,1524819,1541203,1557587,1573971,1590355,1606739,1623123
