r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,7,15,23,31,39,47,55,63,71,79,87,95,103,111,119,127,135,143,151,159,167,175,183,191,199,207,215,223,231,239,247,255,263,271,279,287,295,303,311,319,327,335,343,351,359,367,375,383,391,399,407,415,423,431,439,447,455,463,471,479,487,495,503,511,519,527,535,543,551,559,567,575,583,591,599,607,615,623,631,639,647,655,663,671,679,687,695,703,711,719,727,735,743,751,759,767,775,783,791,799
3,11,27,43,59,75,91,107,123,139,155,171,187,203,219,235,251,267,283,299,315,331,347,363,379,395,411,427,443,459,475,491,507,523,539,555,571,587,603,619,635,651,667,683,699,715,731,747,763,779,795,811,827,843,859,875,891,907,923,939,955,971,987,1003,1019,1035,1051,1067,1083,1099,1115,1131,1147,1163,1179,1195,1211,1227,1243,1259,1275,1291,1307,1323,1339,1355,1371,1387,1403,1419,1435,1451,1467,1483,1499,1515,1531,1547,1563,1579,1595
4,19,51,83,115,147,179,211,243,275,307,339,371,403,435,467,499,531,563,595,627,659,691,723,755,787,819,851,883,915,947,979,1011,1043,1075,1107,1139,1171,1203,1235,1267,1299,1331,1363,1395,1427,1459,1491,1523,1555,1587,1619,1651,1683,1715,1747,1779,1811,1843,1875,1907,1939,1971,2003,2035,2067,2099,2131,2163,2195,2227,2259,2291,2323,2355,2387,2419,2451,2483,2515,2547,2579,2611,2643,2675,2707,2739,2771,2803,2835,2867,2899,2931,2963,2995,3027,3059,3091,3123,3155,3187
5,3,67,131,195,259,323,387,451,515,579,643,707,771,835,899,963,1027,1091,1155,1219,1283,1347,1411,1475,1539,1603,1667,1731,1795,1859,1923,1987,2051,2115,2179,2243,2307,2371,2435,2499,2563,2627,2691,2755,2819,2883,2947,3011,3075,3139,3203,3267,3331,3395,3459,3523,3587,3651,3715,3779,3843,3907,3971,4035,4099,4163,4227,4291,4355,4419,4483,4547,4611,4675,4739,4803,4867,4931,4995,5059,5123,5187,5251,5315,5379,5443,5507,5571,5635,5699,5763,5827,5891,5955,6019,6083,6147,6211,6275,6339
6,99,227,355,483,611,739,867,995,1123,1251,1379,1507,1635,1763,1891,2019,2147,2275,2403,2531,2659,2787,2915,3043,3171,3299,3427,3555,3683,3811,3939,4067,4195,4323,4451,4579,4707,4835,4963,5091,5219,5347,5475,5603,5731,5859,5987,6115,6243,6371,6499,6627,6755,6883,7011,7139,7267,7395,7523,7651,7779,7907,8035,8163,8291,8419,8547,8675,8803,8931,9059,9187,9315,9443,9571,9699,9827,9955,,,,,,,,,,,,,,,,,,,,,,
7,35,291,547,803,1059,1315,1571,1827,2083,2339,2595,2851,3107,3363,3619,3875,4131,4387,4643,4899,5155,5411,5667,5923,6179,6435,6691,6947,7203,7459,7715,7971,8227,8483,8739,8995,9251,9507,9763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,163,675,1187,1699,2211,2723,3235,3747,4259,4771,5283,5795,6307,6819,7331,7843,8355,8867,9379,9891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,931,1955,2979,4003,5027,6051,7075,8099,9123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,419,2467,4515,6563,8611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1443,5539,9635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
