r,base_odd,odds_diff
1,3,4
2,5,8
3,9,16
4,1,32
5,17,64
6,113,128
7,177,256
8,49,512
9,817,1024
10,1329,2048
11,305,4096
12,2353,8192
13,6449,16384
14,31025,32768
15,14641,65536
16,112945,131072
17,47409,262144
18,440625,524288
19,702769,1048576
20,1227057,2097152
21,2275633,4194304
22,4372785,8388608
23,178481,16777216
24,25344305,33554432
