r,base_odd,odds_diff
1,3,4
2,1,8
3,13,16
4,5,32
5,21,64
6,53,128
7,245,256
8,373,512
9,629,1024
10,1141,2048
11,2165,4096
12,117,8192
13,12405,16384
14,4213,32768
15,53365,65536
16,20597,131072
17,86133,262144
18,217205,524288
19,1003637,1048576
20,1527925,2097152
21,2576501,4194304
22,4673653,8388608
23,8867957,16777216
24,479349,33554432
