r,base_odd,odds_diff
1,3,4
2,5,8
3,9,16
4,17,32
5,33,64
6,65,128
7,129,256
8,257,512
9,1,1024
10,1537,2048
11,2561,4096
12,4609,8192
13,8705,16384
14,16897,32768
15,33281,65536
16,66049,131072
17,131585,262144
18,513,524288
19,786945,1048576
20,1311233,2097152
21,2359809,4194304
22,4456961,8388608
23,8651265,16777216
24,17039873,33554432
25,33817089,67108864
26,67371521,134217728
27,262657,268435456
