r,base_odd,odds_diff
1,1,4
2,3,8
3,15,16
4,23,32
5,7,64
6,39,128
7,103,256
8,231,512
9,487,1024
10,2023,2048
11,3047,4096
12,5095,8192
13,999,16384
14,9191,32768
15,58343,65536
16,91111,131072
17,156647,262144
18,287719,524288
19,549863,1048576
20,25575,2097152
21,1074151,4194304
22,3171303,8388608
23,15754215,16777216
24,24142823,33554432
25,7365607,67108864
