r,base_odd,odds_diff
1,1,4
2,3,8
3,15,16
4,23,32
5,39,64
6,7,128
7,71,256
8,199,512
9,967,1024
10,1479,2048
11,2503,4096
12,455,8192
13,4551,16384
14,12743,32768
15,61895,65536
16,94663,131072
17,160199,262144
18,29127,524288
19,291271,1048576
20,815559,2097152
21,3961287,4194304
22,6058439,8388608
23,10252743,16777216
24,1864135,33554432
25,18641351,67108864
