r,base_odd,odds_diff
1,3,4
2,5,8
3,9,16
4,17,32
5,33,64
6,65,128
7,129,256
8,1,512
9,769,1024
10,1281,2048
11,2305,4096
12,4353,8192
13,8449,16384
14,16641,32768
15,33025,65536
16,257,131072
17,196865,262144
18,327937,524288
19,590081,1048576
20,1114369,2097152
21,2162945,4194304
22,4260097,8388608
23,8454401,16777216
24,65793,33554432
25,50397441,67108864
26,83951873,134217728
27,151060737,268435456
