r,base_odd,odds_diff
1,3,4
2,5,8
3,9,16
4,17,32
5,33,64
6,65,128
7,129,256
8,257,512
9,513,1024
10,1,2048
11,3073,4096
12,5121,8192
13,9217,16384
14,17409,32768
15,33793,65536
16,66561,131072
17,132097,262144
18,263169,524288
19,525313,1048576
20,1025,2097152
21,3146753,4194304
22,5243905,8388608
23,9438209,16777216
24,17826817,33554432
25,34604033,67108864
26,68158465,134217728
27,135267329,268435456
