r,base_odd,odds_diff
1,1,4
2,7,8
3,11,16
4,3,32
5,19,64
6,115,128
7,179,256
8,51,512
9,307,1024
10,1843,2048
11,2867,4096
12,819,8192
13,4915,16384
14,29491,32768
15,45875,65536
16,13107,131072
17,78643,262144
18,471859,524288
19,734003,1048576
20,209715,2097152
21,1258291,4194304
