r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,5,13,21,29,37,45,53,61,69,77,85,93,101,109,117,125,133,141,149,157,165,173,181,189,197,205,213,221,229,237,245,253,261,269,277,285,293,301,309,317,325,333,341,349,357,365,373,381,389,397,405,413,421,429,437,445,453,461,469,477,485,493,501,509,517,525,533,541,549,557,565,573,581,589,597,605,613,621,629,637,645,653,661,669,677,685,693,701,709,717,725,733,741,749,757,765,773,781,789,797
3,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593,609,625,641,657,673,689,705,721,737,753,769,785,801,817,833,849,865,881,897,913,929,945,961,977,993,1009,1025,1041,1057,1073,1089,1105,1121,1137,1153,1169,1185,1201,1217,1233,1249,1265,1281,1297,1313,1329,1345,1361,1377,1393,1409,1425,1441,1457,1473,1489,1505,1521,1537,1553,1569,1585
4,25,57,89,121,153,185,217,249,281,313,345,377,409,441,473,505,537,569,601,633,665,697,729,761,793,825,857,889,921,953,985,1017,1049,1081,1113,1145,1177,1209,1241,1273,1305,1337,1369,1401,1433,1465,1497,1529,1561,1593,1625,1657,1689,1721,1753,1785,1817,1849,1881,1913,1945,1977,2009,2041,2073,2105,2137,2169,2201,2233,2265,2297,2329,2361,2393,2425,2457,2489,2521,2553,2585,2617,2649,2681,2713,2745,2777,2809,2841,2873,2905,2937,2969,3001,3033,3065,3097,3129,3161,3193
5,41,105,169,233,297,361,425,489,553,617,681,745,809,873,937,1001,1065,1129,1193,1257,1321,1385,1449,1513,1577,1641,1705,1769,1833,1897,1961,2025,2089,2153,2217,2281,2345,2409,2473,2537,2601,2665,2729,2793,2857,2921,2985,3049,3113,3177,3241,3305,3369,3433,3497,3561,3625,3689,3753,3817,3881,3945,4009,4073,4137,4201,4265,4329,4393,4457,4521,4585,4649,4713,4777,4841,4905,4969,5033,5097,5161,5225,5289,5353,5417,5481,5545,5609,5673,5737,5801,5865,5929,5993,6057,6121,6185,6249,6313,6377
6,9,137,265,393,521,649,777,905,1033,1161,1289,1417,1545,1673,1801,1929,2057,2185,2313,2441,2569,2697,2825,2953,3081,3209,3337,3465,3593,3721,3849,3977,4105,4233,4361,4489,4617,4745,4873,5001,5129,5257,5385,5513,5641,5769,5897,6025,6153,6281,6409,6537,6665,6793,6921,7049,7177,7305,7433,7561,7689,7817,7945,8073,8201,8329,8457,8585,8713,8841,8969,9097,9225,9353,9481,9609,9737,9865,9993,10121,10249,10377,10505,10633,10761,10889,11017,11145,11273,11401,11529,11657,11785,11913,12041,12169,12297,12425,12553,12681
7,201,457,713,969,1225,1481,1737,1993,2249,2505,2761,3017,3273,3529,3785,4041,4297,4553,4809,5065,5321,5577,5833,6089,6345,6601,6857,7113,7369,7625,7881,8137,8393,8649,8905,9161,9417,9673,9929,10185,10441,10697,10953,11209,11465,11721,11977,12233,12489,12745,13001,13257,13513,13769,14025,14281,14537,14793,15049,15305,15561,15817,16073,16329,16585,16841,17097,17353,17609,17865,18121,18377,18633,18889,19145,19401,19657,19913,20169,20425,20681,20937,21193,21449,21705,21961,22217,22473,22729,22985,23241,23497,23753,24009,24265,24521,24777,25033,25289,25545
8,329,841,1353,1865,2377,2889,3401,3913,4425,4937,5449,5961,6473,6985,7497,8009,8521,9033,9545,10057,10569,11081,11593,12105,12617,13129,13641,14153,14665,15177,15689,16201,16713,17225,17737,18249,18761,19273,19785,20297,20809,21321,21833,22345,22857,23369,23881,24393,24905,25417,25929,26441,26953,27465,27977,28489,29001,29513,30025,30537,31049,31561,32073,32585,33097,33609,34121,34633,35145,35657,36169,36681,37193,37705,38217,38729,39241,39753,40265,40777,41289,41801,42313,42825,43337,43849,44361,44873,45385,45897,46409,46921,47433,47945,48457,48969,49481,49993,50505,51017
9,73,1097,2121,3145,4169,5193,6217,7241,8265,9289,10313,11337,12361,13385,14409,15433,16457,17481,18505,19529,20553,21577,22601,23625,24649,25673,26697,27721,28745,29769,30793,31817,32841,33865,34889,35913,36937,37961,38985,40009,41033,42057,43081,44105,45129,46153,47177,48201,49225,50249,51273,52297,53321,54345,55369,56393,57417,58441,59465,60489,61513,62537,63561,64585,65609,66633,67657,68681,69705,70729,71753,72777,73801,74825,75849,76873,77897,78921,79945,80969,81993,83017,84041,85065,86089,87113,88137,89161,90185,91209,92233,93257,94281,95305,96329,97353,98377,99401,100425,101449
10,1609,3657,5705,7753,9801,11849,13897,15945,17993,20041,22089,24137,26185,28233,30281,32329,34377,36425,38473,40521,42569,44617,46665,48713,50761,52809,54857,56905,58953,61001,63049,65097,67145,69193,71241,73289,75337,77385,79433,81481,83529,85577,87625,89673,91721,93769,95817,97865,99913,101961,104009,106057,108105,110153,112201,114249,116297,118345,120393,122441,124489,126537,128585,130633,132681,134729,136777,138825,140873,142921,144969,147017,149065,151113,153161,155209,157257,159305,161353,163401,165449,167497,169545,171593,173641,175689,177737,179785,181833,183881,185929,187977,190025,192073,194121,196169,198217,200265,202313,204361
