r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
14,28987,61755,94523,127291,160059,192827,225595,258363,291131,323899,356667,389435,422203,454971,487739,520507,553275,586043,618811,651579,684347,717115,749883,782651,815419,848187,880955,913723,946491,979259,1012027,1044795,1077563,1110331,1143099,1175867,1208635,1241403,1274171,1306939,1339707,1372475,1405243,1438011,1470779,1503547,1536315,1569083,1601851,1634619,1667387,1700155,1732923,1765691,1798459,1831227,1863995,1896763,1929531,1962299,1995067,2027835,2060603,2093371,2126139,2158907,2191675,2224443,2257211,2289979,2322747,2355515,2388283,2421051,2453819,2486587,2519355,2552123,2584891,2617659,2650427,2683195,2715963,2748731,2781499,2814267,2847035,2879803,2912571,2945339,2978107,3010875,3043643,3076411,3109179,3141947,3174715,3207483,3240251,3273019
15,12603,78139,143675,209211,274747,340283,405819,471355,536891,602427,667963,733499,799035,864571,930107,995643,1061179,1126715,1192251,1257787,1323323,1388859,1454395,1519931,1585467,1651003,1716539,1782075,1847611,1913147,1978683,2044219,2109755,2175291,2240827,2306363,2371899,2437435,2502971,2568507,2634043,2699579,2765115,2830651,2896187,2961723,3027259,3092795,3158331,3223867,3289403,3354939,3420475,3486011,3551547,3617083,3682619,3748155,3813691,3879227,3944763,4010299,4075835,4141371,4206907,4272443,4337979,4403515,4469051,4534587,4600123,4665659,4731195,4796731,4862267,4927803,4993339,5058875,5124411,5189947,5255483,5321019,5386555,5452091,5517627,5583163,5648699,5714235,5779771,5845307,5910843,5976379,6041915,6107451,6172987,6238523,6304059,6369595,6435131,6500667
16,45371,176443,307515,438587,569659,700731,831803,962875,1093947,1225019,1356091,1487163,1618235,1749307,1880379,2011451,2142523,2273595,2404667,2535739,2666811,2797883,2928955,3060027,3191099,3322171,3453243,3584315,3715387,3846459,3977531,4108603,4239675,4370747,4501819,4632891,4763963,4895035,5026107,5157179,5288251,5419323,5550395,5681467,5812539,5943611,6074683,6205755,6336827,6467899,6598971,6730043,6861115,6992187,7123259,7254331,7385403,7516475,7647547,7778619,7909691,8040763,8171835,8302907,8433979,8565051,8696123,8827195,8958267,9089339,9220411,9351483,9482555,9613627,9744699,9875771,10006843,10137915,10268987,10400059,10531131,10662203,10793275,10924347,11055419,11186491,11317563,11448635,11579707,11710779,11841851,11972923,12103995,12235067,12366139,12497211,12628283,12759355,12890427,13021499
17,110907,373051,635195,897339,1159483,1421627,1683771,1945915,2208059,2470203,2732347,2994491,3256635,3518779,3780923,4043067,4305211,4567355,4829499,5091643,5353787,5615931,5878075,6140219,6402363,6664507,6926651,7188795,7450939,7713083,7975227,8237371,8499515,8761659,9023803,9285947,9548091,9810235,10072379,10334523,10596667,10858811,11120955,11383099,11645243,11907387,12169531,12431675,12693819,12955963,13218107,13480251,13742395,14004539,14266683,14528827,14790971,15053115,15315259,15577403,15839547,16101691,16363835,16625979,16888123,17150267,17412411,17674555,17936699,18198843,18460987,18723131,18985275,19247419,19509563,19771707,20033851,20295995,20558139,20820283,21082427,21344571,21606715,21868859,22131003,22393147,22655291,22917435,23179579,23441723,23703867,23966011,24228155,24490299,24752443,25014587,25276731,25538875,25801019,26063163
18,504123,1028411,1552699,2076987,2601275,3125563,3649851,4174139,4698427,5222715,5747003,6271291,6795579,7319867,7844155,8368443,8892731,9417019,9941307,10465595,10989883,11514171,12038459,12562747,13087035,13611323,14135611,14659899,15184187,15708475,16232763,16757051,17281339,17805627,18329915,18854203,19378491,19902779,20427067,20951355,21475643,21999931,22524219,23048507,23572795,24097083,24621371,25145659,25669947,26194235,26718523,27242811,27767099,28291387,28815675,29339963,29864251,30388539,30912827,31437115,31961403,32485691,33009979,33534267,34058555,34582843,35107131,35631419,36155707,36679995,37204283,37728571,38252859,38777147,39301435,39825723,40350011,40874299,41398587,41922875,42447163,42971451,43495739,44020027,44544315,45068603,45592891,46117179,46641467,47165755,47690043,48214331,48738619,49262907,49787195,50311483,50835771,51360059,51884347,52408635
19,766267,1814843,2863419,3911995,4960571,6009147,7057723,8106299,9154875,10203451,11252027,12300603,13349179,14397755,15446331,16494907,17543483,18592059,19640635,20689211,21737787,22786363,23834939,24883515,25932091,26980667,28029243,29077819,30126395,31174971,32223547,33272123,34320699,35369275,36417851,37466427,38515003,39563579,40612155,41660731,42709307,43757883,44806459,45855035,46903611,47952187,49000763,50049339,51097915,52146491,53195067,54243643,55292219,56340795,57389371,58437947,59486523,60535099,61583675,62632251,63680827,64729403,65777979,66826555,67875131,68923707,69972283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,241979,2339131,4436283,6533435,8630587,10727739,12824891,14922043,17019195,19116347,21213499,23310651,25407803,27504955,29602107,31699259,33796411,35893563,37990715,40087867,42185019,44282171,46379323,48476475,50573627,52670779,54767931,56865083,58962235,61059387,63156539,65253691,67350843,69447995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3387707,7582011,11776315,15970619,20164923,24359227,28553531,32747835,36942139,41136443,45330747,49525051,53719355,57913659,62107963,66302267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5484859,13873467,22262075,30650683,39039291,47427899,55816507,64205115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9679163,26456379,43233595,60010811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1290555,34844987,68399419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,18067771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,51622203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
