r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,7,15,23,31,39,47,55,63,71,79,87,95,103,111,119,127,135,143,151,159,167,175,183,191,199,207,215,223,231,239,247,255,263,271,279,287,295,303,311,319,327,335,343,351,359,367,375,383,391,399,407,415,423,431,439,447,455,463,471,479,487,495,503,511,519,527,535,543,551,559,567,575,583,591,599,607,615,623,631,639,647,655,663,671,679,687,695,703,711,719,727,735,743,751,759,767,775,783,791,799
3,3,19,35,51,67,83,99,115,131,147,163,179,195,211,227,243,259,275,291,307,323,339,355,371,387,403,419,435,451,467,483,499,515,531,547,563,579,595,611,627,643,659,675,691,707,723,739,755,771,787,803,819,835,851,867,883,899,915,931,947,963,979,995,1011,1027,1043,1059,1075,1091,1107,1123,1139,1155,1171,1187,1203,1219,1235,1251,1267,1283,1299,1315,1331,1347,1363,1379,1395,1411,1427,1443,1459,1475,1491,1507,1523,1539,1555,1571,1587
4,11,43,75,107,139,171,203,235,267,299,331,363,395,427,459,491,523,555,587,619,651,683,715,747,779,811,843,875,907,939,971,1003,1035,1067,1099,1131,1163,1195,1227,1259,1291,1323,1355,1387,1419,1451,1483,1515,1547,1579,1611,1643,1675,1707,1739,1771,1803,1835,1867,1899,1931,1963,1995,2027,2059,2091,2123,2155,2187,2219,2251,2283,2315,2347,2379,2411,2443,2475,2507,2539,2571,2603,2635,2667,2699,2731,2763,2795,2827,2859,2891,2923,2955,2987,3019,3051,3083,3115,3147,3179
5,27,91,155,219,283,347,411,475,539,603,667,731,795,859,923,987,1051,1115,1179,1243,1307,1371,1435,1499,1563,1627,1691,1755,1819,1883,1947,2011,2075,2139,2203,2267,2331,2395,2459,2523,2587,2651,2715,2779,2843,2907,2971,3035,3099,3163,3227,3291,3355,3419,3483,3547,3611,3675,3739,3803,3867,3931,3995,4059,4123,4187,4251,4315,4379,4443,4507,4571,4635,4699,4763,4827,4891,4955,5019,5083,5147,5211,5275,5339,5403,5467,5531,5595,5659,5723,5787,5851,5915,5979,6043,6107,6171,6235,6299,6363
6,123,251,379,507,635,763,891,1019,1147,1275,1403,1531,1659,1787,1915,2043,2171,2299,2427,2555,2683,2811,2939,3067,3195,3323,3451,3579,3707,3835,3963,4091,4219,4347,4475,4603,4731,4859,4987,5115,5243,5371,5499,5627,5755,5883,6011,6139,6267,6395,6523,6651,6779,6907,7035,7163,7291,7419,7547,7675,7803,7931,8059,8187,8315,8443,8571,8699,8827,8955,9083,9211,9339,9467,9595,9723,9851,9979,10107,10235,10363,10491,10619,10747,10875,11003,11131,11259,11387,11515,11643,11771,11899,12027,12155,12283,12411,12539,12667,12795
7,187,443,699,955,1211,1467,1723,1979,2235,2491,2747,3003,3259,3515,3771,4027,4283,4539,4795,5051,5307,5563,5819,6075,6331,6587,6843,7099,7355,7611,7867,8123,8379,8635,8891,9147,9403,9659,9915,10171,10427,10683,10939,11195,11451,11707,11963,12219,12475,12731,12987,13243,13499,13755,14011,14267,14523,14779,15035,15291,15547,15803,16059,16315,16571,16827,17083,17339,17595,17851,18107,18363,18619,18875,19131,19387,19643,19899,20155,20411,20667,20923,21179,21435,21691,21947,22203,22459,22715,22971,23227,23483,23739,23995,24251,24507,24763,25019,25275,25531
8,59,571,1083,1595,2107,2619,3131,3643,4155,4667,5179,5691,6203,6715,7227,7739,8251,8763,9275,9787,10299,10811,11323,11835,12347,12859,13371,13883,14395,14907,15419,15931,16443,16955,17467,17979,18491,19003,19515,20027,20539,21051,21563,22075,22587,23099,23611,24123,24635,25147,25659,26171,26683,27195,27707,28219,28731,29243,29755,30267,30779,31291,31803,32315,32827,33339,33851,34363,34875,35387,35899,36411,36923,37435,37947,38459,38971,39483,39995,40507,41019,41531,42043,42555,43067,43579,44091,44603,45115,45627,46139,46651,47163,47675,48187,48699,49211,49723,50235,50747
9,827,1851,2875,3899,4923,5947,6971,7995,9019,10043,11067,12091,13115,14139,15163,16187,17211,18235,19259,20283,21307,22331,23355,24379,25403,26427,27451,28475,29499,30523,31547,32571,33595,34619,35643,36667,37691,38715,39739,40763,41787,42811,43835,44859,45883,46907,47931,48955,49979,51003,52027,53051,54075,55099,56123,57147,58171,59195,60219,61243,62267,63291,64315,65339,66363,67387,68411,69435,70459,71483,72507,73531,74555,75579,76603,77627,78651,79675,80699,81723,82747,83771,84795,85819,86843,87867,88891,89915,90939,91963,92987,94011,95035,96059,97083,98107,99131,100155,101179,102203
10,1339,3387,5435,7483,9531,11579,13627,15675,17723,19771,21819,23867,25915,27963,30011,32059,34107,36155,38203,40251,42299,44347,46395,48443,50491,52539,54587,56635,58683,60731,62779,64827,66875,68923,70971,73019,75067,77115,79163,81211,83259,85307,87355,89403,91451,93499,95547,97595,99643,101691,103739,105787,107835,109883,111931,113979,116027,118075,120123,122171,124219,126267,128315,130363,132411,134459,136507,138555,140603,142651,144699,146747,148795,150843,152891,154939,156987,159035,161083,163131,165179,167227,169275,171323,173371,175419,177467,179515,181563,183611,185659,187707,189755,191803,193851,195899,197947,199995,202043,204091
11,2363,6459,10555,14651,18747,22843,26939,31035,35131,39227,43323,47419,51515,55611,59707,63803,67899,71995,76091,80187,84283,88379,92475,96571,100667,104763,108859,112955,117051,121147,125243,129339,133435,137531,141627,145723,149819,153915,158011,162107,166203,170299,174395,178491,182587,186683,190779,194875,198971,203067,207163,211259,215355,219451,223547,227643,231739,235835,239931,244027,248123,252219,256315,260411,264507,268603,272699,276795,280891,284987,289083,293179,297275,301371,305467,309563,313659,317755,321851,325947,330043,334139,338235,342331,346427,350523,354619,358715,362811,366907,371003,375099,379195,383291,387387,391483,395579,399675,403771,407867
12,315,8507,16699,24891,33083,41275,49467,57659,65851,74043,82235,90427,98619,106811,115003,123195,131387,139579,147771,155963,164155,172347,180539,188731,196923,205115,213307,221499,229691,237883,246075,254267,262459,270651,278843,287035,295227,303419,311611,319803,327995,336187,344379,352571,360763,368955,377147,385339,393531,401723,409915,418107,426299,434491,442683,450875,459067,467259,475451,483643,491835,500027,508219,516411,524603,532795,540987,549179,557371,565563,573755,581947,590139,598331,606523,614715,622907,631099,639291,647483,655675,663867,672059,680251,688443,696635,704827,713019,721211,729403,737595,745787,753979,762171,770363,778555,786747,794939,803131,811323
13,4411,20795,37179,53563,69947,86331,102715,119099,135483,151867,168251,184635,201019,217403,233787,250171,266555,282939,299323,315707,332091,348475,364859,381243,397627,414011,430395,446779,463163,479547,495931,512315,528699,545083,561467,577851,594235,610619,627003,643387,659771,676155,692539,708923,725307,741691,758075,774459,790843,807227,823611,839995,856379,872763,889147,905531,921915,938299,954683,971067,987451,1003835,1020219,1036603,1052987,1069371,1085755,1102139,1118523,1134907,1151291,1167675,1184059,1200443,1216827,1233211,1249595,1265979,1282363,1298747,1315131,1331515,1347899,1364283,1380667,1397051,1413435,1429819,1446203,1462587,1478971,1495355,1511739,1528123,1544507,1560891,1577275,1593659,1610043,1626427
