r,base_odd,odds_diff
1,3,4
2,5,8
3,9,16
4,17,32
5,1,64
6,97,128
7,161,256
8,289,512
9,545,1024
10,33,2048
11,3105,4096
12,5153,8192
13,9249,16384
14,17441,32768
15,1057,65536
16,99361,131072
17,164897,262144
18,295969,524288
19,558113,1048576
20,33825,2097152
21,3179553,4194304
22,5276705,8388608
23,9471009,16777216
24,17859617,33554432
25,1082401,67108864
