r,base_odd,odds_diff
1,1,4
2,3,8
3,7,16
4,31,32
5,47,64
6,79,128
7,143,256
8,15,512
9,271,1024
10,783,2048
11,1807,4096
12,7951,8192
13,12047,16384
14,20239,32768
15,36623,65536
16,3855,131072
17,69391,262144
18,200463,524288
19,462607,1048576
20,2035471,2097152
21,3084047,4194304
22,5181199,8388608
23,9375503,16777216
24,986895,33554432
25,17764111,67108864
