r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,3,11,19,27,35,43,51,59,67,75,83,91,99,107,115,123,131,139,147,155,163,171,179,187,195,203,211,219,227,235,243,251,259,267,275,283,291,299,307,315,323,331,339,347,355,363,371,379,387,395,403,411,419,427,435,443,451,459,467,475,483,491,499,507,515,523,531,539,547,555,563,571,579,587,595,603,611,619,627,635,643,651,659,667,675,683,691,699,707,715,723,731,739,747,755,763,771,779,787,795
3,15,31,47,63,79,95,111,127,143,159,175,191,207,223,239,255,271,287,303,319,335,351,367,383,399,415,431,447,463,479,495,511,527,543,559,575,591,607,623,639,655,671,687,703,719,735,751,767,783,799,815,831,847,863,879,895,911,927,943,959,975,991,1007,1023,1039,1055,1071,1087,1103,1119,1135,1151,1167,1183,1199,1215,1231,1247,1263,1279,1295,1311,1327,1343,1359,1375,1391,1407,1423,1439,1455,1471,1487,1503,1519,1535,1551,1567,1583,1599
4,23,55,87,119,151,183,215,247,279,311,343,375,407,439,471,503,535,567,599,631,663,695,727,759,791,823,855,887,919,951,983,1015,1047,1079,1111,1143,1175,1207,1239,1271,1303,1335,1367,1399,1431,1463,1495,1527,1559,1591,1623,1655,1687,1719,1751,1783,1815,1847,1879,1911,1943,1975,2007,2039,2071,2103,2135,2167,2199,2231,2263,2295,2327,2359,2391,2423,2455,2487,2519,2551,2583,2615,2647,2679,2711,2743,2775,2807,2839,2871,2903,2935,2967,2999,3031,3063,3095,3127,3159,3191
5,39,103,167,231,295,359,423,487,551,615,679,743,807,871,935,999,1063,1127,1191,1255,1319,1383,1447,1511,1575,1639,1703,1767,1831,1895,1959,2023,2087,2151,2215,2279,2343,2407,2471,2535,2599,2663,2727,2791,2855,2919,2983,3047,3111,3175,3239,3303,3367,3431,3495,3559,3623,3687,3751,3815,3879,3943,4007,4071,4135,4199,4263,4327,4391,4455,4519,4583,4647,4711,4775,4839,4903,4967,5031,5095,5159,5223,5287,5351,5415,5479,5543,5607,5671,5735,5799,5863,5927,5991,6055,6119,6183,6247,6311,6375
6,7,135,263,391,519,647,775,903,1031,1159,1287,1415,1543,1671,1799,1927,2055,2183,2311,2439,2567,2695,2823,2951,3079,3207,3335,3463,3591,3719,3847,3975,4103,4231,4359,4487,4615,4743,4871,4999,5127,5255,5383,5511,5639,5767,5895,6023,6151,6279,6407,6535,6663,6791,6919,7047,7175,7303,7431,7559,7687,7815,7943,8071,8199,8327,8455,8583,8711,8839,8967,9095,9223,9351,9479,9607,9735,9863,9991,10119,10247,10375,10503,10631,10759,10887,11015,11143,11271,11399,11527,11655,11783,11911,12039,12167,12295,12423,12551,12679
7,71,327,583,839,1095,1351,1607,1863,2119,2375,2631,2887,3143,3399,3655,3911,4167,4423,4679,4935,5191,5447,5703,5959,6215,6471,6727,6983,7239,7495,7751,8007,8263,8519,8775,9031,9287,9543,9799,10055,10311,10567,10823,11079,11335,11591,11847,12103,12359,12615,12871,13127,13383,13639,13895,14151,14407,14663,14919,15175,15431,15687,15943,16199,16455,16711,16967,17223,17479,17735,17991,18247,18503,18759,19015,19271,19527,19783,20039,20295,20551,20807,21063,21319,21575,21831,22087,22343,22599,22855,23111,23367,23623,23879,24135,24391,24647,24903,25159,25415
8,199,711,1223,1735,2247,2759,3271,3783,4295,4807,5319,5831,6343,6855,7367,7879,8391,8903,9415,9927,10439,10951,11463,11975,12487,12999,13511,14023,14535,15047,15559,16071,16583,17095,17607,18119,18631,19143,19655,20167,20679,21191,21703,22215,22727,23239,23751,24263,24775,25287,25799,26311,26823,27335,27847,28359,28871,29383,29895,30407,30919,31431,31943,32455,32967,33479,33991,34503,35015,35527,36039,36551,37063,37575,38087,38599,39111,39623,40135,40647,41159,41671,42183,42695,43207,43719,44231,44743,45255,45767,46279,46791,47303,47815,48327,48839,49351,49863,50375,50887
9,967,1991,3015,4039,5063,6087,7111,8135,9159,10183,11207,12231,13255,14279,15303,16327,17351,18375,19399,20423,21447,22471,23495,24519,25543,26567,27591,28615,29639,30663,31687,32711,33735,34759,35783,36807,37831,38855,39879,40903,41927,42951,43975,44999,46023,47047,48071,49095,50119,51143,52167,53191,54215,55239,56263,57287,58311,59335,60359,61383,62407,63431,64455,65479,66503,67527,68551,69575,70599,71623,72647,73671,74695,75719,76743,77767,78791,79815,80839,81863,82887,83911,84935,85959,86983,88007,89031,90055,91079,92103,93127,94151,95175,96199,97223,98247,99271,100295,101319,102343
10,1479,3527,5575,7623,9671,11719,13767,15815,17863,19911,21959,24007,26055,28103,30151,32199,34247,36295,38343,40391,42439,44487,46535,48583,50631,52679,54727,56775,58823,60871,62919,64967,67015,69063,71111,73159,75207,77255,79303,81351,83399,85447,87495,89543,91591,93639,95687,97735,99783,101831,103879,105927,107975,110023,112071,114119,116167,118215,120263,122311,124359,126407,128455,130503,132551,134599,136647,138695,140743,142791,144839,146887,148935,150983,153031,155079,157127,159175,161223,163271,165319,167367,169415,171463,173511,175559,177607,179655,181703,183751,185799,187847,189895,191943,193991,196039,198087,200135,202183,204231
