r,base_odd,odds_diff
1,3,4
2,1,8
3,13,16
4,21,32
5,37,64
6,69,128
7,133,256
8,5,512
9,773,1024
10,261,2048
11,3333,4096
12,5381,8192
13,9477,16384
14,17669,32768
15,34053,65536
16,1285,131072
17,197893,262144
18,66821,524288
19,853253,1048576
20,1377541,2097152
21,2426117,4194304
22,4523269,8388608
23,8717573,16777216
24,328965,33554432
