r,base_odd,odds_diff
1,3,4
2,5,8
3,1,16
4,9,32
5,57,64
6,25,128
7,217,256
8,345,512
9,601,1024
10,1113,2048
11,89,4096
12,6233,8192
13,10329,16384
14,2137,32768
15,18521,65536
16,116825,131072
17,51289,262144
18,444505,524288
