r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
11,3105,7201,11297,15393,19489,23585,27681,31777,35873,39969,44065,48161,52257,56353,60449,64545,68641,72737,76833,80929,85025,89121,93217,97313,101409,105505,109601,113697,117793,121889,125985,130081,134177,138273,142369,146465,150561,154657,158753,162849,166945,171041,175137,179233,183329,187425,191521,195617,199713,203809,207905,212001,216097,220193,224289,228385,232481,236577,240673,244769,248865,252961,257057,261153,265249,269345,273441,277537,281633,285729,289825,293921,298017,302113,306209,310305,314401,318497,322593,326689,330785,334881,338977,343073,347169,351265,355361,359457,363553,367649,371745,375841,379937,384033,388129,392225,396321,400417,404513,408609
12,5153,13345,21537,29729,37921,46113,54305,62497,70689,78881,87073,95265,103457,111649,119841,128033,136225,144417,152609,160801,168993,177185,185377,193569,201761,209953,218145,226337,234529,242721,250913,259105,267297,275489,283681,291873,300065,308257,316449,324641,332833,341025,349217,357409,365601,373793,381985,390177,398369,406561,414753,422945,431137,439329,447521,455713,463905,472097,480289,488481,496673,504865,513057,521249,529441,537633,545825,554017,562209,570401,578593,586785,594977,603169,611361,619553,627745,635937,644129,652321,660513,668705,676897,685089,693281,701473,709665,717857,726049,734241,742433,750625,758817,767009,775201,783393,791585,799777,807969,816161
13,9249,25633,42017,58401,74785,91169,107553,123937,140321,156705,173089,189473,205857,222241,238625,255009,271393,287777,304161,320545,336929,353313,369697,386081,402465,418849,435233,451617,468001,484385,500769,517153,533537,549921,566305,582689,599073,615457,631841,648225,664609,680993,697377,713761,730145,746529,762913,779297,795681,812065,828449,844833,861217,877601,893985,910369,926753,943137,959521,975905,992289,1008673,1025057,1041441,1057825,1074209,1090593,1106977,1123361,1139745,1156129,1172513,1188897,1205281,1221665,1238049,1254433,1270817,1287201,1303585,1319969,1336353,1352737,1369121,1385505,1401889,1418273,1434657,1451041,1467425,1483809,1500193,1516577,1532961,1549345,1565729,1582113,1598497,1614881,1631265
14,17441,50209,82977,115745,148513,181281,214049,246817,279585,312353,345121,377889,410657,443425,476193,508961,541729,574497,607265,640033,672801,705569,738337,771105,803873,836641,869409,902177,934945,967713,1000481,1033249,1066017,1098785,1131553,1164321,1197089,1229857,1262625,1295393,1328161,1360929,1393697,1426465,1459233,1492001,1524769,1557537,1590305,1623073,1655841,1688609,1721377,1754145,1786913,1819681,1852449,1885217,1917985,1950753,1983521,2016289,2049057,2081825,2114593,2147361,2180129,2212897,2245665,2278433,2311201,2343969,2376737,2409505,2442273,2475041,2507809,2540577,2573345,2606113,2638881,2671649,2704417,2737185,2769953,2802721,2835489,2868257,2901025,2933793,2966561,2999329,3032097,3064865,3097633,3130401,3163169,3195937,3228705,3261473
15,1057,66593,132129,197665,263201,328737,394273,459809,525345,590881,656417,721953,787489,853025,918561,984097,1049633,1115169,1180705,1246241,1311777,1377313,1442849,1508385,1573921,1639457,1704993,1770529,1836065,1901601,1967137,2032673,2098209,2163745,2229281,2294817,2360353,2425889,2491425,2556961,2622497,2688033,2753569,2819105,2884641,2950177,3015713,3081249,3146785,3212321,3277857,3343393,3408929,3474465,3540001,3605537,3671073,3736609,3802145,3867681,3933217,3998753,4064289,4129825,4195361,4260897,4326433,4391969,4457505,4523041,4588577,4654113,4719649,4785185,4850721,4916257,4981793,5047329,5112865,5178401,5243937,5309473,5375009,5440545,5506081,5571617,5637153,5702689,5768225,5833761,5899297,5964833,6030369,6095905,6161441,6226977,6292513,6358049,6423585,6489121
16,99361,230433,361505,492577,623649,754721,885793,1016865,1147937,1279009,1410081,1541153,1672225,1803297,1934369,2065441,2196513,2327585,2458657,2589729,2720801,2851873,2982945,3114017,3245089,3376161,3507233,3638305,3769377,3900449,4031521,4162593,4293665,4424737,4555809,4686881,4817953,4949025,5080097,5211169,5342241,5473313,5604385,5735457,5866529,5997601,6128673,6259745,6390817,6521889,6652961,6784033,6915105,7046177,7177249,7308321,7439393,7570465,7701537,7832609,7963681,8094753,8225825,8356897,8487969,8619041,8750113,8881185,9012257,9143329,9274401,9405473,9536545,9667617,9798689,9929761,10060833,10191905,10322977,10454049,10585121,10716193,10847265,10978337,11109409,11240481,11371553,11502625,11633697,11764769,11895841,12026913,12157985,12289057,12420129,12551201,12682273,12813345,12944417,13075489
17,164897,427041,689185,951329,1213473,1475617,1737761,1999905,2262049,2524193,2786337,3048481,3310625,3572769,3834913,4097057,4359201,4621345,4883489,5145633,5407777,5669921,5932065,6194209,6456353,6718497,6980641,7242785,7504929,7767073,8029217,8291361,8553505,8815649,9077793,9339937,9602081,9864225,10126369,10388513,10650657,10912801,11174945,11437089,11699233,11961377,12223521,12485665,12747809,13009953,13272097,13534241,13796385,14058529,14320673,14582817,14844961,15107105,15369249,15631393,15893537,16155681,16417825,16679969,16942113,17204257,17466401,17728545,17990689,18252833,18514977,18777121,19039265,19301409,19563553,19825697,20087841,20349985,20612129,20874273,21136417,21398561,21660705,21922849,22184993,22447137,22709281,22971425,23233569,23495713,23757857,24020001,24282145,24544289,24806433,25068577,25330721,25592865,25855009,26117153
18,295969,820257,1344545,1868833,2393121,2917409,3441697,3965985,4490273,5014561,5538849,6063137,6587425,7111713,7636001,8160289,8684577,9208865,9733153,10257441,10781729,11306017,11830305,12354593,12878881,13403169,13927457,14451745,14976033,15500321,16024609,16548897,17073185,17597473,18121761,18646049,19170337,19694625,20218913,20743201,21267489,21791777,22316065,22840353,23364641,23888929,24413217,24937505,25461793,25986081,26510369,27034657,27558945,28083233,28607521,29131809,29656097,30180385,30704673,31228961,31753249,32277537,32801825,33326113,33850401,34374689,34898977,35423265,35947553,36471841,36996129,37520417,38044705,38568993,39093281,39617569,40141857,40666145,41190433,41714721,42239009,42763297,43287585,43811873,44336161,44860449,45384737,45909025,46433313,46957601,47481889,48006177,48530465,49054753,49579041,50103329,50627617,51151905,51676193,52200481
19,558113,1606689,2655265,3703841,4752417,5800993,6849569,7898145,8946721,9995297,11043873,12092449,13141025,14189601,15238177,16286753,17335329,18383905,19432481,20481057,21529633,22578209,23626785,24675361,25723937,26772513,27821089,28869665,29918241,30966817,32015393,33063969,34112545,35161121,36209697,37258273,38306849,39355425,40404001,41452577,42501153,43549729,44598305,45646881,46695457,47744033,48792609,49841185,50889761,51938337,52986913,54035489,55084065,56132641,57181217,58229793,59278369,60326945,61375521,62424097,63472673,64521249,65569825,66618401,67666977,68715553,69764129,70812705,71861281,72909857,73958433,75007009,76055585,77104161,78152737,79201313,80249889,81298465,82347041,83395617,84444193,85492769,86541345,87589921,88638497,89687073,90735649,91784225,92832801,93881377,94929953,95978529,97027105,98075681,99124257,,,,,
20,33825,2130977,4228129,6325281,8422433,10519585,12616737,14713889,16811041,18908193,21005345,23102497,25199649,27296801,29393953,31491105,33588257,35685409,37782561,39879713,41976865,44074017,46171169,48268321,50365473,52462625,54559777,56656929,58754081,60851233,62948385,65045537,67142689,69239841,71336993,73434145,75531297,77628449,79725601,81822753,83919905,86017057,88114209,90211361,92308513,94405665,96502817,98599969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3179553,7373857,11568161,15762465,19956769,24151073,28345377,32539681,36733985,40928289,45122593,49316897,53511201,57705505,61899809,66094113,70288417,74482721,78677025,82871329,87065633,91259937,95454241,99648545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5276705,13665313,22053921,30442529,38831137,47219745,55608353,63996961,72385569,80774177,89162785,97551393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9471009,26248225,43025441,59802657,76579873,93357089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17859617,51414049,84968481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1082401,68191265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,34636833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
