r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,7,15,23,31,39,47,55,63,71,79,87,95,103,111,119,127,135,143,151,159,167,175,183,191,199,207,215,223,231,239,247,255,263,271,279,287,295,303,311,319,327,335,343,351,359,367,375,383,391,399,407,415,423,431,439,447,455,463,471,479,487,495,503,511,519,527,535,543,551,559,567,575,583,591,599,607,615,623,631,639,647,655,663,671,679,687,695,703,711,719,727,735,743,751,759,767,775,783,791,799
3,3,19,35,51,67,83,99,115,131,147,163,179,195,211,227,243,259,275,291,307,323,339,355,371,387,403,419,435,451,467,483,499,515,531,547,563,579,595,611,627,643,659,675,691,707,723,739,755,771,787,803,819,835,851,867,883,899,915,931,947,963,979,995,1011,1027,1043,1059,1075,1091,1107,1123,1139,1155,1171,1187,1203,1219,1235,1251,1267,1283,1299,1315,1331,1347,1363,1379,1395,1411,1427,1443,1459,1475,1491,1507,1523,1539,1555,1571,1587
4,27,59,91,123,155,187,219,251,283,315,347,379,411,443,475,507,539,571,603,635,667,699,731,763,795,827,859,891,923,955,987,1019,1051,1083,1115,1147,1179,1211,1243,1275,1307,1339,1371,1403,1435,1467,1499,1531,1563,1595,1627,1659,1691,1723,1755,1787,1819,1851,1883,1915,1947,1979,2011,2043,2075,2107,2139,2171,2203,2235,2267,2299,2331,2363,2395,2427,2459,2491,2523,2555,2587,2619,2651,2683,2715,2747,2779,2811,2843,2875,2907,2939,2971,3003,3035,3067,3099,3131,3163,3195
5,43,107,171,235,299,363,427,491,555,619,683,747,811,875,939,1003,1067,1131,1195,1259,1323,1387,1451,1515,1579,1643,1707,1771,1835,1899,1963,2027,2091,2155,2219,2283,2347,2411,2475,2539,2603,2667,2731,2795,2859,2923,2987,3051,3115,3179,3243,3307,3371,3435,3499,3563,3627,3691,3755,3819,3883,3947,4011,4075,4139,4203,4267,4331,4395,4459,4523,4587,4651,4715,4779,4843,4907,4971,5035,5099,5163,5227,5291,5355,5419,5483,5547,5611,5675,5739,5803,5867,5931,5995,6059,6123,6187,6251,6315,6379
6,11,139,267,395,523,651,779,907,1035,1163,1291,1419,1547,1675,1803,1931,2059,2187,2315,2443,2571,2699,2827,2955,3083,3211,3339,3467,3595,3723,3851,3979,4107,4235,4363,4491,4619,4747,4875,5003,5131,5259,5387,5515,5643,5771,5899,6027,6155,6283,6411,6539,6667,6795,6923,7051,7179,7307,7435,7563,7691,7819,7947,8075,8203,8331,8459,8587,8715,8843,8971,9099,9227,9355,9483,9611,9739,9867,9995,10123,10251,10379,10507,10635,10763,10891,11019,11147,11275,11403,11531,11659,11787,11915,12043,12171,12299,12427,12555,12683
7,75,331,587,843,1099,1355,1611,1867,2123,2379,2635,2891,3147,3403,3659,3915,4171,4427,4683,4939,5195,5451,5707,5963,6219,6475,6731,6987,7243,7499,7755,8011,8267,8523,8779,9035,9291,9547,9803,10059,10315,10571,10827,11083,11339,11595,11851,12107,12363,12619,12875,13131,13387,13643,13899,14155,14411,14667,14923,15179,15435,15691,15947,16203,16459,16715,16971,17227,17483,17739,17995,18251,18507,18763,19019,19275,19531,19787,20043,20299,20555,20811,21067,21323,21579,21835,22091,22347,22603,22859,23115,23371,23627,23883,24139,24395,24651,24907,25163,25419
8,203,715,1227,1739,2251,2763,3275,3787,4299,4811,5323,5835,6347,6859,7371,7883,8395,8907,9419,9931,10443,10955,11467,11979,12491,13003,13515,14027,14539,15051,15563,16075,16587,17099,17611,18123,18635,19147,19659,20171,20683,21195,21707,22219,22731,23243,23755,24267,24779,25291,25803,26315,26827,27339,27851,28363,28875,29387,29899,30411,30923,31435,31947,32459,32971,33483,33995,34507,35019,35531,36043,36555,37067,37579,38091,38603,39115,39627,40139,40651,41163,41675,42187,42699,43211,43723,44235,44747,45259,45771,46283,46795,47307,47819,48331,48843,49355,49867,50379,50891
9,971,1995,3019,4043,5067,6091,7115,8139,9163,10187,11211,12235,13259,14283,15307,16331,17355,18379,19403,20427,21451,22475,23499,24523,25547,26571,27595,28619,29643,30667,31691,32715,33739,34763,35787,36811,37835,38859,39883,40907,41931,42955,43979,45003,46027,47051,48075,49099,50123,51147,52171,53195,54219,55243,56267,57291,58315,59339,60363,61387,62411,63435,64459,65483,66507,67531,68555,69579,70603,71627,72651,73675,74699,75723,76747,77771,78795,79819,80843,81867,82891,83915,84939,85963,86987,88011,89035,90059,91083,92107,93131,94155,95179,96203,97227,98251,99275,100299,101323,102347
10,459,2507,4555,6603,8651,10699,12747,14795,16843,18891,20939,22987,25035,27083,29131,31179,33227,35275,37323,39371,41419,43467,45515,47563,49611,51659,53707,55755,57803,59851,61899,63947,65995,68043,70091,72139,74187,76235,78283,80331,82379,84427,86475,88523,90571,92619,94667,96715,98763,100811,102859,104907,106955,109003,111051,113099,115147,117195,119243,121291,123339,125387,127435,129483,131531,133579,135627,137675,139723,141771,143819,145867,147915,149963,152011,154059,156107,158155,160203,162251,164299,166347,168395,170443,172491,174539,176587,178635,180683,182731,184779,186827,188875,190923,192971,195019,197067,199115,201163,203211
11,1483,5579,9675,13771,17867,21963,26059,30155,34251,38347,42443,46539,50635,54731,58827,62923,67019,71115,75211,79307,83403,87499,91595,95691,99787,103883,107979,112075,116171,120267,124363,128459,132555,136651,140747,144843,148939,153035,157131,161227,165323,169419,173515,177611,181707,185803,189899,193995,198091,202187,206283,210379,214475,218571,222667,226763,230859,234955,239051,243147,247243,251339,255435,259531,263627,267723,271819,275915,280011,284107,288203,292299,296395,300491,304587,308683,312779,316875,320971,325067,329163,333259,337355,341451,345547,349643,353739,357835,361931,366027,370123,374219,378315,382411,386507,390603,394699,398795,402891,406987
12,3531,11723,19915,28107,36299,44491,52683,60875,69067,77259,85451,93643,101835,110027,118219,126411,134603,142795,150987,159179,167371,175563,183755,191947,200139,208331,216523,224715,232907,241099,249291,257483,265675,273867,282059,290251,298443,306635,314827,323019,331211,339403,347595,355787,363979,372171,380363,388555,396747,404939,413131,421323,429515,437707,445899,454091,462283,470475,478667,486859,495051,503243,511435,519627,527819,536011,544203,552395,560587,568779,576971,585163,593355,601547,609739,617931,626123,634315,642507,650699,658891,667083,675275,683467,691659,699851,708043,716235,724427,732619,740811,749003,757195,765387,773579,781771,789963,798155,806347,814539
13,7627,24011,40395,56779,73163,89547,105931,122315,138699,155083,171467,187851,204235,220619,237003,253387,269771,286155,302539,318923,335307,351691,368075,384459,400843,417227,433611,449995,466379,482763,499147,515531,531915,548299,564683,581067,597451,613835,630219,646603,662987,679371,695755,712139,728523,744907,761291,777675,794059,810443,826827,843211,859595,875979,892363,908747,925131,941515,957899,974283,990667,1007051,1023435,1039819,1056203,1072587,1088971,1105355,1121739,1138123,1154507,1170891,1187275,1203659,1220043,1236427,1252811,1269195,1285579,1301963,1318347,1334731,1351115,1367499,1383883,1400267,1416651,1433035,1449419,1465803,1482187,1498571,1514955,1531339,1547723,1564107,1580491,1596875,1613259,1629643
