r,base_odd,odds_diff
1,3,4
2,1,8
3,5,16
4,29,32
5,13,64
6,45,128
7,109,256
8,237,512
9,1005,1024
10,493,2048
11,3565,4096
12,5613,8192
13,1517,16384
14,26093,32768
15,42477,65536
16,75245,131072
17,140781,262144
18,9709,524288
19,796141,1048576
20,271853,2097152
21,1320429,4194304
22,7611885,8388608
23,3417581,16777216
24,11806189,33554432
25,28583405,67108864
