r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,3,11,19,27,35,43,51,59,67,75,83,91,99,107,115,123,131,139,147,155,163,171,179,187,195,203,211,219,227,235,243,251,259,267,275,283,291,299,307,315,323,331,339,347,355,363,371,379,387,395,403,411,419,427,435,443,451,459,467,475,483,491,499,507,515,523,531,539,547,555,563,571,579,587,595,603,611,619,627,635,643,651,659,667,675,683,691,699,707,715,723,731,739,747,755,763,771,779,787,795
3,7,23,39,55,71,87,103,119,135,151,167,183,199,215,231,247,263,279,295,311,327,343,359,375,391,407,423,439,455,471,487,503,519,535,551,567,583,599,615,631,647,663,679,695,711,727,743,759,775,791,807,823,839,855,871,887,903,919,935,951,967,983,999,1015,1031,1047,1063,1079,1095,1111,1127,1143,1159,1175,1191,1207,1223,1239,1255,1271,1287,1303,1319,1335,1351,1367,1383,1399,1415,1431,1447,1463,1479,1495,1511,1527,1543,1559,1575,1591
4,31,63,95,127,159,191,223,255,287,319,351,383,415,447,479,511,543,575,607,639,671,703,735,767,799,831,863,895,927,959,991,1023,1055,1087,1119,1151,1183,1215,1247,1279,1311,1343,1375,1407,1439,1471,1503,1535,1567,1599,1631,1663,1695,1727,1759,1791,1823,1855,1887,1919,1951,1983,2015,2047,2079,2111,2143,2175,2207,2239,2271,2303,2335,2367,2399,2431,2463,2495,2527,2559,2591,2623,2655,2687,2719,2751,2783,2815,2847,2879,2911,2943,2975,3007,3039,3071,3103,3135,3167,3199
5,47,111,175,239,303,367,431,495,559,623,687,751,815,879,943,1007,1071,1135,1199,1263,1327,1391,1455,1519,1583,1647,1711,1775,1839,1903,1967,2031,2095,2159,2223,2287,2351,2415,2479,2543,2607,2671,2735,2799,2863,2927,2991,3055,3119,3183,3247,3311,3375,3439,3503,3567,3631,3695,3759,3823,3887,3951,4015,4079,4143,4207,4271,4335,4399,4463,4527,4591,4655,4719,4783,4847,4911,4975,5039,5103,5167,5231,5295,5359,5423,5487,5551,5615,5679,5743,5807,5871,5935,5999,6063,6127,6191,6255,6319,6383
6,79,207,335,463,591,719,847,975,1103,1231,1359,1487,1615,1743,1871,1999,2127,2255,2383,2511,2639,2767,2895,3023,3151,3279,3407,3535,3663,3791,3919,4047,4175,4303,4431,4559,4687,4815,4943,5071,5199,5327,5455,5583,5711,5839,5967,6095,6223,6351,6479,6607,6735,6863,6991,7119,7247,7375,7503,7631,7759,7887,8015,8143,8271,8399,8527,8655,8783,8911,9039,9167,9295,9423,9551,9679,9807,9935,10063,10191,10319,10447,10575,10703,10831,10959,11087,11215,11343,11471,11599,11727,11855,11983,12111,12239,12367,12495,12623,12751
7,143,399,655,911,1167,1423,1679,1935,2191,2447,2703,2959,3215,3471,3727,3983,4239,4495,4751,5007,5263,5519,5775,6031,6287,6543,6799,7055,7311,7567,7823,8079,8335,8591,8847,9103,9359,9615,9871,10127,10383,10639,10895,11151,11407,11663,11919,12175,12431,12687,12943,13199,13455,13711,13967,14223,14479,14735,14991,15247,15503,15759,16015,16271,16527,16783,17039,17295,17551,17807,18063,18319,18575,18831,19087,19343,19599,19855,20111,20367,20623,20879,21135,21391,21647,21903,22159,22415,22671,22927,23183,23439,23695,23951,24207,24463,24719,24975,25231,25487
8,15,527,1039,1551,2063,2575,3087,3599,4111,4623,5135,5647,6159,6671,7183,7695,8207,8719,9231,9743,10255,10767,11279,11791,12303,12815,13327,13839,14351,14863,15375,15887,16399,16911,17423,17935,18447,18959,19471,19983,20495,21007,21519,22031,22543,23055,23567,24079,24591,25103,25615,26127,26639,27151,27663,28175,28687,29199,29711,30223,30735,31247,31759,32271,32783,33295,33807,34319,34831,35343,35855,36367,36879,37391,37903,38415,38927,39439,39951,40463,40975,41487,41999,42511,43023,43535,44047,44559,45071,45583,46095,46607,47119,47631,48143,48655,49167,49679,50191,50703
9,271,1295,2319,3343,4367,5391,6415,7439,8463,9487,10511,11535,12559,13583,14607,15631,16655,17679,18703,19727,20751,21775,22799,23823,24847,25871,26895,27919,28943,29967,30991,32015,33039,34063,35087,36111,37135,38159,39183,40207,41231,42255,43279,44303,45327,46351,47375,48399,49423,50447,51471,52495,53519,54543,55567,56591,57615,58639,59663,60687,61711,62735,63759,64783,65807,66831,67855,68879,69903,70927,71951,72975,73999,75023,76047,77071,78095,79119,80143,81167,82191,83215,84239,85263,86287,87311,88335,89359,90383,91407,92431,93455,94479,95503,96527,97551,98575,99599,100623,101647
10,783,2831,4879,6927,8975,11023,13071,15119,17167,19215,21263,23311,25359,27407,29455,31503,33551,35599,37647,39695,41743,43791,45839,47887,49935,51983,54031,56079,58127,60175,62223,64271,66319,68367,70415,72463,74511,76559,78607,80655,82703,84751,86799,88847,90895,92943,94991,97039,99087,101135,103183,105231,107279,109327,111375,113423,115471,117519,119567,121615,123663,125711,127759,129807,131855,133903,135951,137999,140047,142095,144143,146191,148239,150287,152335,154383,156431,158479,160527,162575,164623,166671,168719,170767,172815,174863,176911,178959,181007,183055,185103,187151,189199,191247,193295,195343,197391,199439,201487,203535
