r,base_odd,odds_diff
1,1,4
2,3,8
3,15,16
4,7,32
5,55,64
6,23,128
7,87,256
8,215,512
9,471,1024
10,2007,2048
11,3031,4096
12,5079,8192
13,983,16384
14,25559,32768
15,9175,65536
16,107479,131072
17,173015,262144
18,304087,524288
19,566231,1048576
20,41943,2097152
21,1090519,4194304
22,3187671,8388608
23,15770583,16777216
24,7381975,33554432
