r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,7,15,23,31,39,47,55,63,71,79,87,95,103,111,119,127,135,143,151,159,167,175,183,191,199,207,215,223,231,239,247,255,263,271,279,287,295,303,311,319,327,335,343,351,359,367,375,383,391,399,407,415,423,431,439,447,455,463,471,479,487,495,503,511,519,527,535,543,551,559,567,575,583,591,599,607,615,623,631,639,647,655,663,671,679,687,695,703,711,719,727,735,743,751,759,767,775,783,791,799
3,3,19,35,51,67,83,99,115,131,147,163,179,195,211,227,243,259,275,291,307,323,339,355,371,387,403,419,435,451,467,483,499,515,531,547,563,579,595,611,627,643,659,675,691,707,723,739,755,771,787,803,819,835,851,867,883,899,915,931,947,963,979,995,1011,1027,1043,1059,1075,1091,1107,1123,1139,1155,1171,1187,1203,1219,1235,1251,1267,1283,1299,1315,1331,1347,1363,1379,1395,1411,1427,1443,1459,1475,1491,1507,1523,1539,1555,1571,1587
4,11,43,75,107,139,171,203,235,267,299,331,363,395,427,459,491,523,555,587,619,651,683,715,747,779,811,843,875,907,939,971,1003,1035,1067,1099,1131,1163,1195,1227,1259,1291,1323,1355,1387,1419,1451,1483,1515,1547,1579,1611,1643,1675,1707,1739,1771,1803,1835,1867,1899,1931,1963,1995,2027,2059,2091,2123,2155,2187,2219,2251,2283,2315,2347,2379,2411,2443,2475,2507,2539,2571,2603,2635,2667,2699,2731,2763,2795,2827,2859,2891,2923,2955,2987,3019,3051,3083,3115,3147,3179
5,59,123,187,251,315,379,443,507,571,635,699,763,827,891,955,1019,1083,1147,1211,1275,1339,1403,1467,1531,1595,1659,1723,1787,1851,1915,1979,2043,2107,2171,2235,2299,2363,2427,2491,2555,2619,2683,2747,2811,2875,2939,3003,3067,3131,3195,3259,3323,3387,3451,3515,3579,3643,3707,3771,3835,3899,3963,4027,4091,4155,4219,4283,4347,4411,4475,4539,4603,4667,4731,4795,4859,4923,4987,5051,5115,5179,5243,5307,5371,5435,5499,5563,5627,5691,5755,5819,5883,5947,6011,6075,6139,6203,6267,6331,6395
6,27,155,283,411,539,667,795,923,1051,1179,1307,1435,1563,1691,1819,1947,2075,2203,2331,2459,2587,2715,2843,2971,3099,3227,3355,3483,3611,3739,3867,3995,4123,4251,4379,4507,4635,4763,4891,5019,5147,5275,5403,5531,5659,5787,5915,6043,6171,6299,6427,6555,6683,6811,6939,7067,7195,7323,7451,7579,7707,7835,7963,8091,8219,8347,8475,8603,8731,8859,8987,9115,9243,9371,9499,9627,9755,9883,10011,10139,10267,10395,10523,10651,10779,10907,11035,11163,11291,11419,11547,11675,11803,11931,12059,12187,12315,12443,12571,12699
7,219,475,731,987,1243,1499,1755,2011,2267,2523,2779,3035,3291,3547,3803,4059,4315,4571,4827,5083,5339,5595,5851,6107,6363,6619,6875,7131,7387,7643,7899,8155,8411,8667,8923,9179,9435,9691,9947,10203,10459,10715,10971,11227,11483,11739,11995,12251,12507,12763,13019,13275,13531,13787,14043,14299,14555,14811,15067,15323,15579,15835,16091,16347,16603,16859,17115,17371,17627,17883,18139,18395,18651,18907,19163,19419,19675,19931,20187,20443,20699,20955,21211,21467,21723,21979,22235,22491,22747,23003,23259,23515,23771,24027,24283,24539,24795,25051,25307,25563
8,347,859,1371,1883,2395,2907,3419,3931,4443,4955,5467,5979,6491,7003,7515,8027,8539,9051,9563,10075,10587,11099,11611,12123,12635,13147,13659,14171,14683,15195,15707,16219,16731,17243,17755,18267,18779,19291,19803,20315,20827,21339,21851,22363,22875,23387,23899,24411,24923,25435,25947,26459,26971,27483,27995,28507,29019,29531,30043,30555,31067,31579,32091,32603,33115,33627,34139,34651,35163,35675,36187,36699,37211,37723,38235,38747,39259,39771,40283,40795,41307,41819,42331,42843,43355,43867,44379,44891,45403,45915,46427,46939,47451,47963,48475,48987,49499,50011,50523,51035
9,603,1627,2651,3675,4699,5723,6747,7771,8795,9819,10843,11867,12891,13915,14939,15963,16987,18011,19035,20059,21083,22107,23131,24155,25179,26203,27227,28251,29275,30299,31323,32347,33371,34395,35419,36443,37467,38491,39515,40539,41563,42587,43611,44635,45659,46683,47707,48731,49755,50779,51803,52827,53851,54875,55899,56923,57947,58971,59995,61019,62043,63067,64091,65115,66139,67163,68187,69211,70235,71259,72283,73307,74331,75355,76379,77403,78427,79451,80475,81499,82523,83547,84571,85595,86619,87643,88667,89691,90715,91739,92763,93787,94811,95835,96859,97883,98907,99931,100955,101979
10,1115,3163,5211,7259,9307,11355,13403,15451,17499,19547,21595,23643,25691,27739,29787,31835,33883,35931,37979,40027,42075,44123,46171,48219,50267,52315,54363,56411,58459,60507,62555,64603,66651,68699,70747,72795,74843,76891,78939,80987,83035,85083,87131,89179,91227,93275,95323,97371,99419,101467,103515,105563,107611,109659,111707,113755,115803,117851,119899,121947,123995,126043,128091,130139,132187,134235,136283,138331,140379,142427,144475,146523,148571,150619,152667,154715,156763,158811,160859,162907,164955,167003,169051,171099,173147,175195,177243,179291,181339,183387,185435,187483,189531,191579,193627,195675,197723,199771,201819,203867
11,2139,6235,10331,14427,18523,22619,26715,30811,34907,39003,43099,47195,51291,55387,59483,63579,67675,71771,75867,79963,84059,88155,92251,96347,100443,104539,108635,112731,116827,120923,125019,129115,133211,137307,141403,145499,149595,153691,157787,161883,165979,170075,174171,178267,182363,186459,190555,194651,198747,202843,206939,211035,215131,219227,223323,227419,231515,235611,239707,243803,247899,251995,256091,260187,264283,268379,272475,276571,280667,284763,288859,292955,297051,301147,305243,309339,313435,317531,321627,325723,329819,333915,338011,342107,346203,350299,354395,358491,362587,366683,370779,374875,378971,383067,387163,391259,395355,399451,403547,407643
12,91,8283,16475,24667,32859,41051,49243,57435,65627,73819,82011,90203,98395,106587,114779,122971,131163,139355,147547,155739,163931,172123,180315,188507,196699,204891,213083,221275,229467,237659,245851,254043,262235,270427,278619,286811,295003,303195,311387,319579,327771,335963,344155,352347,360539,368731,376923,385115,393307,401499,409691,417883,426075,434267,442459,450651,458843,467035,475227,483419,491611,499803,507995,516187,524379,532571,540763,548955,557147,565339,573531,581723,589915,598107,606299,614491,622683,630875,639067,647259,655451,663643,671835,680027,688219,696411,704603,712795,720987,729179,737371,745563,753755,761947,770139,778331,786523,794715,802907,811099
13,4187,20571,36955,53339,69723,86107,102491,118875,135259,151643,168027,184411,200795,217179,233563,249947,266331,282715,299099,315483,331867,348251,364635,381019,397403,413787,430171,446555,462939,479323,495707,512091,528475,544859,561243,577627,594011,610395,626779,643163,659547,675931,692315,708699,725083,741467,757851,774235,790619,807003,823387,839771,856155,872539,888923,905307,921691,938075,954459,970843,987227,1003611,1019995,1036379,1052763,1069147,1085531,1101915,1118299,1134683,1151067,1167451,1183835,1200219,1216603,1232987,1249371,1265755,1282139,1298523,1314907,1331291,1347675,1364059,1380443,1396827,1413211,1429595,1445979,1462363,1478747,1495131,1511515,1527899,1544283,1560667,1577051,1593435,1609819,1626203
