r,base_odd,odds_diff
1,1,4
2,7,8
3,11,16
4,19,32
5,35,64
6,3,128
7,67,256
8,451,512
9,707,1024
10,1219,2048
11,2243,4096
12,195,8192
13,4291,16384
14,28867,32768
15,45251,65536
16,78019,131072
17,143555,262144
18,12483,524288
19,274627,1048576
20,1847491,2097152
21,2896067,4194304
