r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153,161,169,177,185,193,201,209,217,225,233,241,249,257,265,273,281,289,297,305,313,321,329,337,345,353,361,369,377,385,393,401,409,417,425,433,441,449,457,465,473,481,489,497,505,513,521,529,537,545,553,561,569,577,585,593,601,609,617,625,633,641,649,657,665,673,681,689,697,705,713,721,729,737,745,753,761,769,777,785,793
3,13,29,45,61,77,93,109,125,141,157,173,189,205,221,237,253,269,285,301,317,333,349,365,381,397,413,429,445,461,477,493,509,525,541,557,573,589,605,621,637,653,669,685,701,717,733,749,765,781,797,813,829,845,861,877,893,909,925,941,957,973,989,1005,1021,1037,1053,1069,1085,1101,1117,1133,1149,1165,1181,1197,1213,1229,1245,1261,1277,1293,1309,1325,1341,1357,1373,1389,1405,1421,1437,1453,1469,1485,1501,1517,1533,1549,1565,1581,1597
4,21,53,85,117,149,181,213,245,277,309,341,373,405,437,469,501,533,565,597,629,661,693,725,757,789,821,853,885,917,949,981,1013,1045,1077,1109,1141,1173,1205,1237,1269,1301,1333,1365,1397,1429,1461,1493,1525,1557,1589,1621,1653,1685,1717,1749,1781,1813,1845,1877,1909,1941,1973,2005,2037,2069,2101,2133,2165,2197,2229,2261,2293,2325,2357,2389,2421,2453,2485,2517,2549,2581,2613,2645,2677,2709,2741,2773,2805,2837,2869,2901,2933,2965,2997,3029,3061,3093,3125,3157,3189
5,37,101,165,229,293,357,421,485,549,613,677,741,805,869,933,997,1061,1125,1189,1253,1317,1381,1445,1509,1573,1637,1701,1765,1829,1893,1957,2021,2085,2149,2213,2277,2341,2405,2469,2533,2597,2661,2725,2789,2853,2917,2981,3045,3109,3173,3237,3301,3365,3429,3493,3557,3621,3685,3749,3813,3877,3941,4005,4069,4133,4197,4261,4325,4389,4453,4517,4581,4645,4709,4773,4837,4901,4965,5029,5093,5157,5221,5285,5349,5413,5477,5541,5605,5669,5733,5797,5861,5925,5989,6053,6117,6181,6245,6309,6373
6,69,197,325,453,581,709,837,965,1093,1221,1349,1477,1605,1733,1861,1989,2117,2245,2373,2501,2629,2757,2885,3013,3141,3269,3397,3525,3653,3781,3909,4037,4165,4293,4421,4549,4677,4805,4933,5061,5189,5317,5445,5573,5701,5829,5957,6085,6213,6341,6469,6597,6725,6853,6981,7109,7237,7365,7493,7621,7749,7877,8005,8133,8261,8389,8517,8645,8773,8901,9029,9157,9285,9413,9541,9669,9797,9925,10053,10181,10309,10437,10565,10693,10821,10949,11077,11205,11333,11461,11589,11717,11845,11973,12101,12229,12357,12485,12613,12741
7,133,389,645,901,1157,1413,1669,1925,2181,2437,2693,2949,3205,3461,3717,3973,4229,4485,4741,4997,5253,5509,5765,6021,6277,6533,6789,7045,7301,7557,7813,8069,8325,8581,8837,9093,9349,9605,9861,10117,10373,10629,10885,11141,11397,11653,11909,12165,12421,12677,12933,13189,13445,13701,13957,14213,14469,14725,14981,15237,15493,15749,16005,16261,16517,16773,17029,17285,17541,17797,18053,18309,18565,18821,19077,19333,19589,19845,20101,20357,20613,20869,21125,21381,21637,21893,22149,22405,22661,22917,23173,23429,23685,23941,24197,24453,24709,24965,25221,25477
8,5,517,1029,1541,2053,2565,3077,3589,4101,4613,5125,5637,6149,6661,7173,7685,8197,8709,9221,9733,10245,10757,11269,11781,12293,12805,13317,13829,14341,14853,15365,15877,16389,16901,17413,17925,18437,18949,19461,19973,20485,20997,21509,22021,22533,23045,23557,24069,24581,25093,25605,26117,26629,27141,27653,28165,28677,29189,29701,30213,30725,31237,31749,32261,32773,33285,33797,34309,34821,35333,35845,36357,36869,37381,37893,38405,38917,39429,39941,40453,40965,41477,41989,42501,43013,43525,44037,44549,45061,45573,46085,46597,47109,47621,48133,48645,49157,49669,50181,50693
9,773,1797,2821,3845,4869,5893,6917,7941,8965,9989,11013,12037,13061,14085,15109,16133,17157,18181,19205,20229,21253,22277,23301,24325,25349,26373,27397,28421,29445,30469,31493,32517,33541,34565,35589,36613,37637,38661,39685,40709,41733,42757,43781,44805,45829,46853,47877,48901,49925,50949,51973,52997,54021,55045,56069,57093,58117,59141,60165,61189,62213,63237,64261,65285,66309,67333,68357,69381,70405,71429,72453,73477,74501,75525,76549,77573,78597,79621,80645,81669,82693,83717,84741,85765,86789,87813,88837,89861,90885,91909,92933,93957,94981,96005,97029,98053,99077,100101,101125,102149
10,261,2309,4357,6405,8453,10501,12549,14597,16645,18693,20741,22789,24837,26885,28933,30981,33029,35077,37125,39173,41221,43269,45317,47365,49413,51461,53509,55557,57605,59653,61701,63749,65797,67845,69893,71941,73989,76037,78085,80133,82181,84229,86277,88325,90373,92421,94469,96517,98565,100613,102661,104709,106757,108805,110853,112901,114949,116997,119045,121093,123141,125189,127237,129285,131333,133381,135429,137477,139525,141573,143621,145669,147717,149765,151813,153861,155909,157957,160005,162053,164101,166149,168197,170245,172293,174341,176389,178437,180485,182533,184581,186629,188677,190725,192773,194821,196869,198917,200965,203013
