r,base_odd,odds_diff
1,1,4
2,3,8
3,7,16
4,15,32
5,63,64
6,95,128
7,159,256
8,287,512
9,543,1024
10,31,2048
11,1055,4096
12,3103,8192
13,7199,16384
14,15391,32768
15,64543,65536
16,97311,131072
17,162847,262144
18,293919,524288
19,556063,1048576
20,31775,2097152
21,1080351,4194304
22,3177503,8388608
23,7371807,16777216
24,15760415,33554432
