r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,3,7,11,15,19,23,27,31,35,39,43,47,51,55,59,63,67,71,75,79,83,87,91,95,99,103,107,111,115,119,123,127,131,135,139,143,147,151,155,159,163,167,171,175,179,183,187,191,195,199,203,207,211,215,219,223,227,231,235,239,243,247,251,255,259,263,267,271,275,279,283,287,291,295,299,303,307,311,315,319,323,327,331,335,339,343,347,351,355,359,363,367,371,375,379,383,387,391,395,399
2,1,9,17,25,33,41,49,57,65,73,81,89,97,105,113,121,129,137,145,153,161,169,177,185,193,201,209,217,225,233,241,249,257,265,273,281,289,297,305,313,321,329,337,345,353,361,369,377,385,393,401,409,417,425,433,441,449,457,465,473,481,489,497,505,513,521,529,537,545,553,561,569,577,585,593,601,609,617,625,633,641,649,657,665,673,681,689,697,705,713,721,729,737,745,753,761,769,777,785,793
3,5,21,37,53,69,85,101,117,133,149,165,181,197,213,229,245,261,277,293,309,325,341,357,373,389,405,421,437,453,469,485,501,517,533,549,565,581,597,613,629,645,661,677,693,709,725,741,757,773,789,805,821,837,853,869,885,901,917,933,949,965,981,997,1013,1029,1045,1061,1077,1093,1109,1125,1141,1157,1173,1189,1205,1221,1237,1253,1269,1285,1301,1317,1333,1349,1365,1381,1397,1413,1429,1445,1461,1477,1493,1509,1525,1541,1557,1573,1589
4,29,61,93,125,157,189,221,253,285,317,349,381,413,445,477,509,541,573,605,637,669,701,733,765,797,829,861,893,925,957,989,1021,1053,1085,1117,1149,1181,1213,1245,1277,1309,1341,1373,1405,1437,1469,1501,1533,1565,1597,1629,1661,1693,1725,1757,1789,1821,1853,1885,1917,1949,1981,2013,2045,2077,2109,2141,2173,2205,2237,2269,2301,2333,2365,2397,2429,2461,2493,2525,2557,2589,2621,2653,2685,2717,2749,2781,2813,2845,2877,2909,2941,2973,3005,3037,3069,3101,3133,3165,3197
5,13,77,141,205,269,333,397,461,525,589,653,717,781,845,909,973,1037,1101,1165,1229,1293,1357,1421,1485,1549,1613,1677,1741,1805,1869,1933,1997,2061,2125,2189,2253,2317,2381,2445,2509,2573,2637,2701,2765,2829,2893,2957,3021,3085,3149,3213,3277,3341,3405,3469,3533,3597,3661,3725,3789,3853,3917,3981,4045,4109,4173,4237,4301,4365,4429,4493,4557,4621,4685,4749,4813,4877,4941,5005,5069,5133,5197,5261,5325,5389,5453,5517,5581,5645,5709,5773,5837,5901,5965,6029,6093,6157,6221,6285,6349
6,45,173,301,429,557,685,813,941,1069,1197,1325,1453,1581,1709,1837,1965,2093,2221,2349,2477,2605,2733,2861,2989,3117,3245,3373,3501,3629,3757,3885,4013,4141,4269,4397,4525,4653,4781,4909,5037,5165,5293,5421,5549,5677,5805,5933,6061,6189,6317,6445,6573,6701,6829,6957,7085,7213,7341,7469,7597,7725,7853,7981,8109,8237,8365,8493,8621,8749,8877,9005,9133,9261,9389,9517,9645,9773,9901,10029,10157,10285,10413,10541,10669,10797,10925,11053,11181,11309,11437,11565,11693,11821,11949,12077,12205,12333,12461,12589,12717
7,109,365,621,877,1133,1389,1645,1901,2157,2413,2669,2925,3181,3437,3693,3949,4205,4461,4717,4973,5229,5485,5741,5997,6253,6509,6765,7021,7277,7533,7789,8045,8301,8557,8813,9069,9325,9581,9837,10093,10349,10605,10861,11117,11373,11629,11885,12141,12397,12653,12909,13165,13421,13677,13933,14189,14445,14701,14957,15213,15469,15725,15981,16237,16493,16749,17005,17261,17517,17773,18029,18285,18541,18797,19053,19309,19565,19821,20077,20333,20589,20845,21101,21357,21613,21869,22125,22381,22637,22893,23149,23405,23661,23917,24173,24429,24685,24941,25197,25453
8,237,749,1261,1773,2285,2797,3309,3821,4333,4845,5357,5869,6381,6893,7405,7917,8429,8941,9453,9965,10477,10989,11501,12013,12525,13037,13549,14061,14573,15085,15597,16109,16621,17133,17645,18157,18669,19181,19693,20205,20717,21229,21741,22253,22765,23277,23789,24301,24813,25325,25837,26349,26861,27373,27885,28397,28909,29421,29933,30445,30957,31469,31981,32493,33005,33517,34029,34541,35053,35565,36077,36589,37101,37613,38125,38637,39149,39661,40173,40685,41197,41709,42221,42733,43245,43757,44269,44781,45293,45805,46317,46829,47341,47853,48365,48877,49389,49901,50413,50925
9,1005,2029,3053,4077,5101,6125,7149,8173,9197,10221,11245,12269,13293,14317,15341,16365,17389,18413,19437,20461,21485,22509,23533,24557,25581,26605,27629,28653,29677,30701,31725,32749,33773,34797,35821,36845,37869,38893,39917,40941,41965,42989,44013,45037,46061,47085,48109,49133,50157,51181,52205,53229,54253,55277,56301,57325,58349,59373,60397,61421,62445,63469,64493,65517,66541,67565,68589,69613,70637,71661,72685,73709,74733,75757,76781,77805,78829,79853,80877,81901,82925,83949,84973,85997,87021,88045,89069,90093,91117,92141,93165,94189,95213,96237,97261,98285,99309,100333,101357,102381
10,493,2541,4589,6637,8685,10733,12781,14829,16877,18925,20973,23021,25069,27117,29165,31213,33261,35309,37357,39405,41453,43501,45549,47597,49645,51693,53741,55789,57837,59885,61933,63981,66029,68077,70125,72173,74221,76269,78317,80365,82413,84461,86509,88557,90605,92653,94701,96749,98797,100845,102893,104941,106989,109037,111085,113133,115181,117229,119277,121325,123373,125421,127469,129517,131565,133613,135661,137709,139757,141805,143853,145901,147949,149997,152045,154093,156141,158189,160237,162285,164333,166381,168429,170477,172525,174573,176621,178669,180717,182765,184813,186861,188909,190957,193005,195053,197101,199149,201197,203245
