r,m=0,m=1,m=2,m=3,m=4,m=5,m=6,m=7,m=8,m=9,m=10,m=11,m=12,m=13,m=14,m=15,m=16,m=17,m=18,m=19,m=20,m=21,m=22,m=23,m=24,m=25,m=26,m=27,m=28,m=29,m=30,m=31,m=32,m=33,m=34,m=35,m=36,m=37,m=38,m=39,m=40,m=41,m=42,m=43,m=44,m=45,m=46,m=47,m=48,m=49,m=50,m=51,m=52,m=53,m=54,m=55,m=56,m=57,m=58,m=59,m=60,m=61,m=62,m=63,m=64,m=65,m=66,m=67,m=68,m=69,m=70,m=71,m=72,m=73,m=74,m=75,m=76,m=77,m=78,m=79,m=80,m=81,m=82,m=83,m=84,m=85,m=86,m=87,m=88,m=89,m=90,m=91,m=92,m=93,m=94,m=95,m=96,m=97,m=98,m=99
1,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233,237,241,245,249,253,257,261,265,269,273,277,281,285,289,293,297,301,305,309,313,317,321,325,329,333,337,341,345,349,353,357,361,365,369,373,377,381,385,389,393,397
2,7,15,23,31,39,47,55,63,71,79,87,95,103,111,119,127,135,143,151,159,167,175,183,191,199,207,215,223,231,239,247,255,263,271,279,287,295,303,311,319,327,335,343,351,359,367,375,383,391,399,407,415,423,431,439,447,455,463,471,479,487,495,503,511,519,527,535,543,551,559,567,575,583,591,599,607,615,623,631,639,647,655,663,671,679,687,695,703,711,719,727,735,743,751,759,767,775,783,791,799
3,11,27,43,59,75,91,107,123,139,155,171,187,203,219,235,251,267,283,299,315,331,347,363,379,395,411,427,443,459,475,491,507,523,539,555,571,587,603,619,635,651,667,683,699,715,731,747,763,779,795,811,827,843,859,875,891,907,923,939,955,971,987,1003,1019,1035,1051,1067,1083,1099,1115,1131,1147,1163,1179,1195,1211,1227,1243,1259,1275,1291,1307,1323,1339,1355,1371,1387,1403,1419,1435,1451,1467,1483,1499,1515,1531,1547,1563,1579,1595
4,3,35,67,99,131,163,195,227,259,291,323,355,387,419,451,483,515,547,579,611,643,675,707,739,771,803,835,867,899,931,963,995,1027,1059,1091,1123,1155,1187,1219,1251,1283,1315,1347,1379,1411,1443,1475,1507,1539,1571,1603,1635,1667,1699,1731,1763,1795,1827,1859,1891,1923,1955,1987,2019,2051,2083,2115,2147,2179,2211,2243,2275,2307,2339,2371,2403,2435,2467,2499,2531,2563,2595,2627,2659,2691,2723,2755,2787,2819,2851,2883,2915,2947,2979,3011,3043,3075,3107,3139,3171
5,19,83,147,211,275,339,403,467,531,595,659,723,787,851,915,979,1043,1107,1171,1235,1299,1363,1427,1491,1555,1619,1683,1747,1811,1875,1939,2003,2067,2131,2195,2259,2323,2387,2451,2515,2579,2643,2707,2771,2835,2899,2963,3027,3091,3155,3219,3283,3347,3411,3475,3539,3603,3667,3731,3795,3859,3923,3987,4051,4115,4179,4243,4307,4371,4435,4499,4563,4627,4691,4755,4819,4883,4947,5011,5075,5139,5203,5267,5331,5395,5459,5523,5587,5651,5715,5779,5843,5907,5971,6035,6099,6163,6227,6291,6355
6,115,243,371,499,627,755,883,1011,1139,1267,1395,1523,1651,1779,1907,2035,2163,2291,2419,2547,2675,2803,2931,3059,3187,3315,3443,3571,3699,3827,3955,4083,4211,4339,4467,4595,4723,4851,4979,5107,5235,5363,5491,5619,5747,5875,6003,6131,6259,6387,6515,6643,6771,6899,7027,7155,7283,7411,7539,7667,7795,7923,8051,8179,8307,8435,8563,8691,8819,8947,9075,9203,9331,9459,9587,9715,9843,9971,10099,10227,10355,10483,10611,10739,10867,10995,11123,11251,11379,11507,11635,11763,11891,12019,12147,12275,12403,12531,12659,12787
7,179,435,691,947,1203,1459,1715,1971,2227,2483,2739,2995,3251,3507,3763,4019,4275,4531,4787,5043,5299,5555,5811,6067,6323,6579,6835,7091,7347,7603,7859,8115,8371,8627,8883,9139,9395,9651,9907,10163,10419,10675,10931,11187,11443,11699,11955,12211,12467,12723,12979,13235,13491,13747,14003,14259,14515,14771,15027,15283,15539,15795,16051,16307,16563,16819,17075,17331,17587,17843,18099,18355,18611,18867,19123,19379,19635,19891,20147,20403,20659,20915,21171,21427,21683,21939,22195,22451,22707,22963,23219,23475,23731,23987,24243,24499,24755,25011,25267,25523
8,51,563,1075,1587,2099,2611,3123,3635,4147,4659,5171,5683,6195,6707,7219,7731,8243,8755,9267,9779,10291,10803,11315,11827,12339,12851,13363,13875,14387,14899,15411,15923,16435,16947,17459,17971,18483,18995,19507,20019,20531,21043,21555,22067,22579,23091,23603,24115,24627,25139,25651,26163,26675,27187,27699,28211,28723,29235,29747,30259,30771,31283,31795,32307,32819,33331,33843,34355,34867,35379,35891,36403,36915,37427,37939,38451,38963,39475,39987,40499,41011,41523,42035,42547,43059,43571,44083,44595,45107,45619,46131,46643,47155,47667,48179,48691,49203,49715,50227,50739
9,307,1331,2355,3379,4403,5427,6451,7475,8499,9523,10547,11571,12595,13619,14643,15667,16691,17715,18739,19763,20787,21811,22835,23859,24883,25907,26931,27955,28979,30003,31027,32051,33075,34099,35123,36147,37171,38195,39219,40243,41267,42291,43315,44339,45363,46387,47411,48435,49459,50483,51507,52531,53555,54579,55603,56627,57651,58675,59699,60723,61747,62771,63795,64819,65843,66867,67891,68915,69939,70963,71987,73011,74035,75059,76083,77107,78131,79155,80179,81203,82227,83251,84275,85299,86323,87347,88371,89395,90419,91443,92467,93491,94515,95539,96563,97587,98611,99635,100659,101683
10,1843,3891,5939,7987,10035,12083,14131,16179,18227,20275,22323,24371,26419,28467,30515,32563,34611,36659,38707,40755,42803,44851,46899,48947,50995,53043,55091,57139,59187,61235,63283,65331,67379,69427,71475,73523,75571,77619,79667,81715,83763,85811,87859,89907,91955,94003,96051,98099,100147,102195,104243,106291,108339,110387,112435,114483,116531,118579,120627,122675,124723,126771,128819,130867,132915,134963,137011,139059,141107,143155,145203,147251,149299,151347,153395,155443,157491,159539,161587,163635,165683,167731,169779,171827,173875,175923,177971,180019,182067,184115,186163,188211,190259,192307,194355,196403,198451,200499,202547,204595
11,2867,6963,11059,15155,19251,23347,27443,31539,35635,39731,43827,47923,52019,56115,60211,64307,68403,72499,76595,80691,84787,88883,92979,97075,101171,105267,109363,113459,117555,121651,125747,129843,133939,138035,142131,146227,150323,154419,158515,162611,166707,170803,174899,178995,183091,187187,191283,195379,199475,203571,207667,211763,215859,219955,224051,228147,232243,236339,240435,244531,248627,252723,256819,260915,265011,269107,273203,277299,281395,285491,289587,293683,297779,301875,305971,310067,314163,318259,322355,326451,330547,334643,338739,342835,346931,351027,355123,359219,363315,367411,371507,375603,379699,383795,387891,391987,396083,400179,404275,408371
12,819,9011,17203,25395,33587,41779,49971,58163,66355,74547,82739,90931,99123,107315,115507,123699,131891,140083,148275,156467,164659,172851,181043,189235,197427,205619,213811,222003,230195,238387,246579,254771,262963,271155,279347,287539,295731,303923,312115,320307,328499,336691,344883,353075,361267,369459,377651,385843,394035,402227,410419,418611,426803,434995,443187,451379,459571,467763,475955,484147,492339,500531,508723,516915,525107,533299,541491,549683,557875,566067,574259,582451,590643,598835,607027,615219,623411,631603,639795,647987,656179,664371,672563,680755,688947,697139,705331,713523,721715,729907,738099,746291,754483,762675,770867,779059,787251,795443,803635,811827
13,4915,21299,37683,54067,70451,86835,103219,119603,135987,152371,168755,185139,201523,217907,234291,250675,267059,283443,299827,316211,332595,348979,365363,381747,398131,414515,430899,447283,463667,480051,496435,512819,529203,545587,561971,578355,594739,611123,627507,643891,660275,676659,693043,709427,725811,742195,758579,774963,791347,807731,824115,840499,856883,873267,889651,906035,922419,938803,955187,971571,987955,1004339,1020723,1037107,1053491,1069875,1086259,1102643,1119027,1135411,1151795,1168179,1184563,1200947,1217331,1233715,1250099,1266483,1282867,1299251,1315635,1332019,1348403,1364787,1381171,1397555,1413939,1430323,1446707,1463091,1479475,1495859,1512243,1528627,1545011,1561395,1577779,1594163,1610547,1626931
